nodes,train_accuracy,run_id,model
48032,0.0971143733859062,qiybxw8n,UnsyncedRNN
48096,0.09703769570589066,2t9w8q5m,UnsyncedGRU
78844,0.024044141949154437,a1yr08d1,UnsyncedRecurrentDifflogic
80104,0.11287838360667228,j2n5urh2,UnsyncedRNN
80312,0.10090792351961136,7305d2hk,UnsyncedGRU
144368,0.1478414943218231,q4rajlpg,UnsyncedRNN
145104,0.15119613808393478,y7c8mthv,UnsyncedGRU
87636,0.12558912080526352,gpkidcmm,UnsyncedRecurrentDifflogic
259780,0.2008576298356056,p6osiq2v,UnsyncedGRU
257260,0.19231940484046936,qlaqojdm,UnsyncedRNN
533248,0.22437369459867476,2wjnn8tj,UnsyncedRNN
543744,0.2556726260781288,wtwi1wor,UnsyncedGRU
1043530,0.25259722769260406,icep4cys,UnsyncedRNN
1082590,0.30521573251485823,7zvqp6yf,UnsyncedGRU
133710,0.02069228890538216,krtjdywf,UnsyncedRecurrentDifflogic
2274314,0.3502226812839508,b36b7ffm,UnsyncedGRU
2123438,0.27269705456495286,1kv0iflz,UnsyncedRNN
4971160,0.3872815903425217,xbb6bc8e,UnsyncedGRU
4387720,0.2863528244495392,rhnnfzkq,UnsyncedRNN
9336448,0.2708697644472122,h4ungsvu,UnsyncedRNN
11593344,0.40052154099941256,mijrv176,UnsyncedGRU
172292,0.09821861133724452,l9krdale,UnsyncedRecurrentDifflogic
20747904,0.24911378729343417,v7nt87xj,UnsyncedRNN
29443712,0.39511134767532347,wof5v75k,UnsyncedGRU
49569408,0.20843075448274612,fwtz68he,UnsyncedRNN
83140224,0.3507719982862473,cbnc3jg4,UnsyncedGRU
240584,0.0769333720356226,2uyc1uwb,UnsyncedRecurrentDifflogic
331010,0.07592036104202271,lsvvpfvk,UnsyncedRecurrentDifflogic
457266,0.09316676603257656,5r5ctp4m,UnsyncedRecurrentDifflogic
673540,0.212468608379364,dl3c7ddm,UnsyncedRecurrentDifflogic
983996,0.265082605779171,zbrcfzmz,UnsyncedRecurrentDifflogic
17334,0.002238780586980283,4e3is7c8,UnsyncedRecurrentDifflogic
18594,0.004486802374944091,3ia0gjc9,UnsyncedRecurrentDifflogic
896824,0.26583182853460313,rnks6k8h,UnsyncedRecurrentDifflogic
37032,0.017380843776278198,po1573sp,UnsyncedRecurrentDifflogic
41772,0.07800744909048081,nnx2vxh1,UnsyncedRecurrentDifflogic
83010,0.05648562136292458,6ldpkl9b,UnsyncedRecurrentDifflogic
1583998,0.2896914054751396,gkizwqqg,UnsyncedRecurrentDifflogic
117046,0.03352703685685992,xbekexix,UnsyncedRecurrentDifflogic
184344,0.025493275376036763,n0m4gt7n,UnsyncedRecurrentDifflogic
317528,0.06045464204996824,92jaokoe,UnsyncedRecurrentDifflogic
