seq_length,accuracy,model,run_id
69,0.29058945846557616,GRU,v28fc8kv
50,0.29169202625751495,GRU,ts1h4ylq
127,0.291450916826725,GRU,9zhfngws
47,0.29498288011550905,GRU,up9m1qqg
9,0.36248721766471864,GRU,rcolggiw
116,0.2878425704240799,GRU,upxxge9z
52,0.2924086626768112,GRU,5rfp3jos
122,0.2887033571600914,GRU,svc6wxbr
121,0.2902221981883049,GRU,j2y7pr6v
56,0.28906057906150817,GRU,43wgu24f
33,0.29926160621643066,GRU,7s204f20
86,0.28910463124513625,GRU,mzim44w9
65,0.29012400937080385,GRU,82d6yz6c
118,0.2917734613418579,GRU,3axnuj61
119,0.2874738612174988,GRU,9ranve0p
37,0.29544464230537415,GRU,aum494w2
101,0.2906999409198761,GRU,uhmxqae2
123,0.28616506147384646,GRU,ucwa09fn
115,0.28574170970916746,GRU,50ct0ilu
16,0.3181800177693367,GRU,0bo5z39d
95,0.2883183208703995,GRU,55klhaq2
85,0.2922429023385048,GRU,fw7crlml
63,0.29235554903745653,GRU,05izhwni
120,0.2909802102446556,GRU,vds6ur7a
26,0.3023634344935417,GRU,rfmyo7ob
93,0.2931228395700455,GRU,wuws2e7n
89,0.29198529171943666,GRU,an6nn2kt
82,0.2909681445360184,GRU,qiqrer81
82,0.2909681445360184,GRU,qiqrer81
42,0.2922886673808098,GRU,n4fw04d8
120,0.28849800616502763,GRU,krs8s64x
67,0.29043736338615417,GRU,8z8rtruc
54,0.2954883238077164,GRU,6tfs20ga
15,0.32389151948690414,GRU,ufo1f52n
94,0.2925976640582085,GRU,ctmgwiqz
96,0.2894350643157959,GRU,cfq2syce
68,0.2900811282992363,GRU,nptc0tl3
85,0.292725471675396,GRU,rpqprkch
43,0.29666332638263704,GRU,dink4gx2
83,0.29453407365083695,GRU,aaureszh
75,0.28969893407821656,GRU,h0i0uw2f
31,0.2952546388506889,GRU,34qt002o
76,0.294114096224308,GRU,rgo304cg
104,0.2893346546888351,GRU,bhuh9sd8
24,0.3039165804386139,GRU,pg7rfral
77,0.292420035302639,GRU,th84uhce
75,0.29168973076343535,GRU,7lrfo9hr
31,0.2950230469703674,GRU,01v9oxyw
73,0.2929955679178238,GRU,sir75cvj
46,0.29565809726715087,GRU,18hxrlj7
112,0.2922959868311882,GRU,zixkzi9g
30,0.2975297607779503,GRU,z5y0425h
80,0.29021307224035264,GRU,ishhhl6n
13,0.33993865579366683,GRU,xw4ov360
64,0.29382100439071657,GRU,13l4bnqx
102,0.2936860749721527,GRU,wfs5lp1l
39,0.2978411516547203,GRU,juo5mwgd
50,0.29255320769548415,GRU,33tkay9k
51,0.2905931293964386,GRU,8pe1l45x
96,0.28950510907173155,GRU,hmezxwzw
48,0.29531825667619704,GRU,cquh2ikc
14,0.3379314029216766,GRU,nd7fvdr3
41,0.29481230133771896,GRU,x0xm8ytb
40,0.2939942821264267,GRU,uu3ypyxq
119,0.28872183805704116,GRU,p0xnkohw
67,0.29043736338615417,GRU,gfpczfu1
50,0.2925065611600876,GRU,sna59l57
20,0.29999935007095335,GRU,zwq83di6
89,0.2876951078772545,GRU,bjugt5so
118,0.2912351291179657,GRU,lkjeg8xv
23,0.30178624534606935,GRU,94i95ipl
15,0.32507467359304426,GRU,uy4squ1g
15,0.32507467359304426,GRU,xxv68tmu
10,0.324574135363102,GRU,i9oxcu6w
83,0.291544972717762,GRU,1l6yn29z
93,0.29425630897283556,GRU,wacek1ha
96,0.2873905308842659,GRU,v7bs1c35
120,0.28927326554059984,GRU,01wew75b
121,0.2859546656012535,GRU,xc4xsz02
75,0.2908679352402687,GRU,j0s0hc1n
84,0.2905128312706947,GRU,x10kompi
114,0.2916675714254379,GRU,z0ma5gqk
8,0.2694482623487711,GRU,e2c2bulr
59,0.2911845528483391,GRU,9tai866h
128,0.29120905935764313,GRU,e1xihk83
52,0.2924086626768112,GRU,vgc7nwnh
62,0.292104139149189,GRU,iwodiyu4
94,0.2932665693759918,GRU,1cwjn00r
95,0.29055033922195433,GRU,gwoyb1nw
73,0.29316781997680663,GRU,kg7ajrbg
75,0.28964120042324065,GRU,vfba7aqo
34,0.2932559193968773,GRU,uzv82i9j
50,0.2925065611600876,GRU,44mpcoj9
122,0.28424711948633197,GRU,wngnopzo
125,0.2859372013807297,GRU,gto7th67
83,0.285330475628376,GRU,g15s2fjk
64,0.2905696040391922,GRU,1ioqwl0d
43,0.2960098521709442,GRU,k637libc
77,0.29115739274024965,GRU,bhx4e69v
85,0.292725471675396,GRU,utmhbanl
50,0.2925065611600876,GRU,8gh5hh2b
89,0.29134611028432844,GRU,mylyl1jw
123,0.28933793675899505,GRU,scm2x3ig
53,0.2954124788045883,GRU,bs3pj1xt
57,0.2901051201820374,GRU,ns982ixw
85,0.29304029160737993,GRU,n1xl7jg4
39,0.2978411516547203,GRU,wbuf98e4
26,0.2972985208630562,GRU,bzcg5x3p
77,0.29201960706710817,GRU,hy1d7116
94,0.2927688291072845,GRU,i4hwuf07
122,0.2887033571600914,GRU,hn3fpdmw
80,0.29054590612649916,GRU,m74k11ph
7,0.3261124043166637,GRU,yx8zcmaw
34,0.2935023684501648,GRU,1y2zq3kw
