seq_length,accuracy,model,run_id
7,0.3375540018398315,RDDLGN,1z5iy3w4
9,0.3624831131100655,RDDLGN,6jwkle14
50,0.2298278822898865,RDDLGN,8ocv5gbt
32,0.23430901885032657,RDDLGN,0hey8u6u
56,0.2317314800024033,RDDLGN,p78w2ry6
19,0.2581456798911095,RDDLGN,ef0bwmkw
67,0.224357646048069,RDDLGN,tq6zzcje
61,0.23264716106653213,RDDLGN,3uwkyx4x
47,0.23092209845781325,RDDLGN,1im15ca5
61,0.22743197882175445,RDDLGN,0u4tgb4j
13,0.305359943151474,RDDLGN,7jydo1vs
82,0.22580424118041992,RDDLGN,ria4knd7
56,0.22982972288131712,RDDLGN,734g9vpi
82,0.22778717702627185,RDDLGN,ra01mxn3
81,0.22786597830057145,RDDLGN,dlwgct9e
9,0.3624831131100655,RDDLGN,xk2lyy44
41,0.23096882754564285,RDDLGN,8dnlzv5u
16,0.27771914237737655,RDDLGN,xxy95tw4
52,0.22686808407306672,RDDLGN,nkn55xbl
45,0.22921602863073348,RDDLGN,pfaovy6e
73,0.2267795796394348,RDDLGN,qu4am6gi
21,0.25306125861406326,RDDLGN,g5w5xomv
11,0.328720933675766,RDDLGN,cgtic2qd
85,0.2278805461525917,RDDLGN,cphk5r8r
57,0.22976631021499633,RDDLGN,f945vsxo
56,0.2277033434510231,RDDLGN,jp8h6y0w
34,0.23197819703817368,RDDLGN,l6w3rcso
60,0.22969415724277495,RDDLGN,3zwqadp7
26,0.24174932873249053,RDDLGN,0v1y0nhb
84,0.2282563678622246,RDDLGN,n5o3eoy8
87,0.22752432441711423,RDDLGN,td9j8m3a
42,0.22997411346435548,RDDLGN,2vzislrg
70,0.2269947181344032,RDDLGN,cizh8dg1
65,0.2273238522410393,RDDLGN,67kznmfp
103,0.22787213665246964,RDDLGN,adqhd7pu
7,0.337769503319636,RDDLGN,m0p8i80d
14,0.29748974150419233,RDDLGN,o28qgyqm
80,0.22797989356517792,RDDLGN,j8dbqx12
80,0.22779816472530365,RDDLGN,ge5c8cs9
34,0.23402562713623049,RDDLGN,nnrnhhdk
22,0.24722829473018643,RDDLGN,gxricjym
52,0.23147377771139144,RDDLGN,exo01ey4
50,0.23395491313934327,RDDLGN,z988y8xn
84,0.2282563678622246,RDDLGN,gyd9a4cv
27,0.2401284409761429,RDDLGN,g2lf1anu
30,0.23851168429851533,RDDLGN,5wn9xhzh
36,0.2358628867864609,RDDLGN,yr2wdndt
11,0.32704587507247923,RDDLGN,t7y4t7nh
54,0.2289690510034561,RDDLGN,w3csjrov
30,0.2386248779296875,RDDLGN,d6bdfone
116,0.22926464879512787,RDDLGN,i3qsc4yh
72,0.22567456954717635,RDDLGN,rwyg0ib8
70,0.2269947181344032,RDDLGN,kofai7ac
14,0.29764571779966353,RDDLGN,wb8nbzhv
51,0.23056508642435075,RDDLGN,kfh19zph
58,0.2282455214858055,RDDLGN,1owrr2ea
35,0.23677045130729676,RDDLGN,9vaj74jr
36,0.23415231758356095,RDDLGN,kf8egy7q
40,0.2339956150650978,RDDLGN,t4fslzex
39,0.22865012484788896,RDDLGN,f530kb7k
52,0.23002506798505784,RDDLGN,mr4i39fc
19,0.2581456798911095,RDDLGN,8nnvrtcc
15,0.2852663494944572,RDDLGN,cpxhg9ym
37,0.2344587972164154,RDDLGN,dv4m4pge
62,0.22657574784755707,RDDLGN,f4k9q13g
18,0.26439471942186354,RDDLGN,wulqc61j
41,0.23499271613359451,RDDLGN,us5qujnz
81,0.22665206837654112,RDDLGN,afv5du5e
50,0.2298278822898865,RDDLGN,by4l0bbd
61,0.2299023870229721,RDDLGN,9pfurtgz
32,0.2360260076522827,RDDLGN,kl8g07ec
53,0.23160244005918504,RDDLGN,uhqe78sx
28,0.23712067073583604,RDDLGN,w3bv6kys
68,0.22554268360137936,RDDLGN,bm8om5kb
33,0.23384010106325148,RDDLGN,xapkrb9q
60,0.23034831589460372,RDDLGN,r1wcrc3l
14,0.29625069212913513,RDDLGN,2xhlvzij
28,0.2383021395206451,RDDLGN,54engr4r
64,0.227761789560318,RDDLGN,9mn37ihw
20,0.2559251174330711,RDDLGN,haiivqh3
46,0.23130887776613235,RDDLGN,0hbz1p99
116,0.22926464879512787,RDDLGN,sjvxh1dg
78,0.22593520838022232,RDDLGN,ev2bbsgf
35,0.23395003509521484,RDDLGN,apadjmws
71,0.2275042775273323,RDDLGN,ljdwvazw
67,0.2249426090717316,RDDLGN,oy5em0v2
9,0.3643774929046631,RDDLGN,96byiinj
56,0.22913365590572357,RDDLGN,8batpbch
15,0.29019935029745103,RDDLGN,luccf76i
58,0.2282455214858055,RDDLGN,53ns9n9i
45,0.22921602863073348,RDDLGN,ew6ifnhn
77,0.227011442899704,RDDLGN,50k95z8o
44,0.2324553110003471,RDDLGN,s1tij9et
50,0.2326099072098732,RDDLGN,l2lcipzb
32,0.23430901885032657,RDDLGN,imn9djwp
78,0.22616198551654815,RDDLGN,9lsssmdl
71,0.22749896574020387,RDDLGN,qeycwor1
53,0.2304635084271431,RDDLGN,lecgi3or
72,0.22450434130430225,RDDLGN,2btyv192
16,0.274831861615181,RDDLGN,6agdabs7
35,0.2347097010612488,RDDLGN,e10dn1mq
35,0.23395003509521484,RDDLGN,ukag1mvk
34,0.23402562713623049,RDDLGN,k46sixae
39,0.2318983279466629,RDDLGN,tqkie5rl
36,0.23415231758356095,RDDLGN,lvbwxgwk
34,0.23197819703817368,RDDLGN,mxayhqpm
32,0.23791001224517824,RDDLGN,40j3dgal
25,0.24201892912387848,RDDLGN,oy50g3n9
22,0.2502284140586853,RDDLGN,366jz87v
28,0.2383021395206451,RDDLGN,nj7r4fod
31,0.2375905349254608,RDDLGN,z7ojyc42
24,0.24567307490110396,RDDLGN,usfyctm5
33,0.23595929956436157,RDDLGN,y16is9m9
29,0.23956178957223892,RDDLGN,fylmpwbx
55,0.2344572923183441,RDDLGN,lokceq4k
72,0.22564177656173703,RDDLGN,mzia65a1
29,0.23983621603250505,RDDLGN,0xnuj8zz
75,0.22911034619808196,RDDLGN,c1qy8x4b
48,0.2295363805294037,RDDLGN,ndk1i2f5
37,0.2331720753312111,RDDLGN,gc1hepit
36,0.23415231758356095,RDDLGN,lcrdms1p
64,0.2261371311545372,RDDLGN,ryqt37wq
78,0.2260666353702545,RDDLGN,rxmw4z4x
113,0.23020501983165745,RDDLGN,yhe3z9fi
