step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.7657406005859375,0.5205999881029129,0.5371999889612198,1.6093342542648315,1.3403618264198303
4000,0.001,1.0,0.5342756958007813,0.5543999868631363,0.5621999883651734,1.3033795642852783,1.2364013242721557
6000,0.001,1.0,0.4169595031738281,0.571199984550476,0.5815999871492386,1.2412833607196807,1.2027797555923463
8000,0.001,1.0,0.3429244384765625,0.577599983215332,0.5863999855518341,1.2044094574451447,1.1855153608322144
10000,0.001,1.0,0.29695159912109376,0.5825999855995179,0.5895999878644943,1.195338397026062,1.1826313996315003
12000,0.001,1.0,0.2681816711425781,0.5819999873638153,0.5871999883651733,1.191626751422882,1.1809956991672517
14000,0.001,1.0,0.24891322326660156,0.5809999829530716,0.5881999880075455,1.1888135802745818,1.1783902072906494
16000,0.001,1.0,0.23594267272949218,0.5847999906539917,0.5879999876022339,1.184778755903244,1.1757149231433868
18000,0.001,1.0,0.2266599578857422,0.5853999876976013,0.5885999876260758,1.1834168493747712,1.1766316854953767
20000,0.001,1.0,0.21925611877441406,0.58559998691082,0.5875999903678895,1.1830567479133607,1.175714771747589
