step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.4878264617919922,0.4932,0.5302,1.448115209007263,1.3214572032928467
4000,0.001,1.0,0.41117996215820307,0.5348,0.564,1.3224736183166503,1.233478755569458
6000,0.001,1.0,0.39164688110351564,0.5468,0.5824,1.2750078145980834,1.1922558493614197
8000,0.001,1.0,0.37985637664794925,0.5596,0.591,1.2658181304931642,1.166103427696228
10000,0.001,1.0,0.3715030288696289,0.565,0.6026,1.2416314052581787,1.147146039581299
12000,0.001,1.0,0.36597766876220705,0.5734,0.6052,1.2211805438995362,1.1357322645187378
14000,0.001,1.0,0.3620311737060547,0.5672,0.6094,1.2105764596939086,1.1287594369888305
16000,0.001,1.0,0.3577173614501953,0.566,0.6114,1.2234550365447998,1.122196394252777
18000,0.001,1.0,0.3545383834838867,0.5728,0.612,1.214056142616272,1.1159357543945312
20000,0.001,1.0,0.3528535079956055,0.5766,0.6118,1.2042500034332275,1.1119502679824829
