step,thresh_0_0,thresh_0_1,thresh_0_2
2000,0.25,0.5,0.75
4000,0.25,0.5,0.75
6000,0.25,0.5,0.75
8000,0.25,0.5,0.75
10000,0.25,0.5,0.75
12000,0.25,0.5,0.75
14000,0.25,0.5,0.75
16000,0.25,0.5,0.75
18000,0.25,0.5,0.75
20000,0.25,0.5,0.75
22000,0.25,0.5,0.75
24000,0.25,0.5,0.75
26000,0.25,0.5,0.75
28000,0.25,0.5,0.75
30000,0.25,0.5,0.75
32000,0.25,0.5,0.75
34000,0.25,0.5,0.75
36000,0.25,0.5,0.75
38000,0.25,0.5,0.75
40000,0.25,0.5,0.75
42000,0.25,0.5,0.75
44000,0.25,0.5,0.75
46000,0.25,0.5,0.75
48000,0.25,0.5,0.75
50000,0.25,0.5,0.75
52000,0.25,0.5,0.75
54000,0.25,0.5,0.75
56000,0.25,0.5,0.75
58000,0.25,0.5,0.75
60000,0.25,0.5,0.75
62000,0.25,0.5,0.75
64000,0.25,0.5,0.75
66000,0.25,0.5,0.75
68000,0.25,0.5,0.75
70000,0.25,0.5,0.75
72000,0.25,0.5,0.75
74000,0.25,0.5,0.75
76000,0.25,0.5,0.75
78000,0.25,0.5,0.75
80000,0.25,0.5,0.75
82000,0.25,0.5,0.75
84000,0.25,0.5,0.75
86000,0.25,0.5,0.75
88000,0.25,0.5,0.75
90000,0.25,0.5,0.75
92000,0.25,0.5,0.75
94000,0.25,0.5,0.75
96000,0.25,0.5,0.75
98000,0.25,0.5,0.75
