step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
1688,1.0,1.0,0.09812154815095296,0.9593333336512248,0.9708333336512248,0.31103241896629336,0.09768535117308298
3376,1.0,1.0,0.013582071721977533,0.9730000009536743,0.9763333336512248,0.19390373662114144,0.07821472110350927
5064,1.0,1.0,0.003256508956941383,0.9775000009536743,0.9806666674613953,0.17954180553307136,0.07356031054258347
6752,1.0,1.0,0.0007881200408907298,0.9783333342870076,0.9800000003178915,0.1856600237476329,0.07943371189634005
8440,1.0,1.0,0.0002685249634131224,0.9786666676203409,0.9798333336512248,0.1844834616978963,0.0844659739236037
10128,1.0,1.0,0.00010546184543815941,0.9783333342870076,0.9805000003178914,0.18584226004841428,0.08981307935714722
11816,1.0,1.0,4.456897057378797e-05,0.9805000003178914,0.9806666669845581,0.18375940932919427,0.09489526485403378
13504,1.0,1.0,1.9817453683839483e-05,0.9806666676203409,0.9803333336512248,0.18572840771063542,0.09984806349873543
15192,1.0,1.0,9.37602913983153e-06,0.9795000003178914,0.9803333336512248,0.18545581540154915,0.10418801585833232
16880,1.0,1.0,4.782957032182744e-06,0.9805000003178914,0.9808333336512248,0.18519758191580574,0.10808017448087533
18568,1.0,1.0,2.6361920916496324e-06,0.9813333336512248,0.9811666669845581,0.1842242859848775,0.11074955635083218
20256,1.0,1.0,1.6227238607411912e-06,0.9806666669845581,0.9808333336512248,0.1854425431250905,0.11405712207779288
21944,1.0,1.0,1.091774703165951e-06,0.9808333336512248,0.9808333336512248,0.18427506875696903,0.1157827207526813
23632,1.0,1.0,8.007900329236101e-07,0.9808333336512248,0.9808333336512248,0.1853752788117466,0.11808477078191935
25320,1.0,1.0,6.255412930435798e-07,0.9811666669845581,0.9803333336512248,0.18389899292440776,0.11845935542695224
27008,1.0,1.0,5.127892434593292e-07,0.9811666669845581,0.9806666669845581,0.18461379794008098,0.11965786353188257
28696,1.0,1.0,4.3429492067468965e-07,0.9808333336512248,0.9806666669845581,0.1849483109038944,0.12071356118408343
30384,1.0,1.0,3.7935758072312403e-07,0.9810000009536743,0.9806666669845581,0.18415483633300755,0.12157167619901399
32072,1.0,1.0,3.3527864952400925e-07,0.9811666669845581,0.9806666669845581,0.1838292773606954,0.12195299507211894
33760,1.0,1.0,2.9998303463402387e-07,0.9811666669845581,0.9806666669845581,0.18344424809220558,0.12269082002434879
35448,1.0,1.0,2.7406125727750447e-07,0.9808333336512248,0.9808333336512248,0.18380282286707855,0.12309609206300229
37136,1.0,1.0,2.514795119276171e-07,0.9806666669845581,0.9806666669845581,0.18285861270861156,0.12370256178608785
38824,1.0,1.0,2.3275586896505915e-07,0.9808333336512248,0.9806666669845581,0.1826996074663281,0.12418715470160047
40512,1.0,1.0,2.163123637030574e-07,0.9806666669845581,0.9808333336512248,0.18314204547942306,0.12446595105466743
42200,1.0,1.0,2.0160320907151803e-07,0.9810000003178915,0.9808333336512248,0.18252093004796188,0.1246662486884743
43888,1.0,1.0,1.9014094621490663e-07,0.9808333338101705,0.9808333336512248,0.18251247880186808,0.1250659263404086
