step,thresh_0,thresh_1,thresh_2,thresh_3
1688,0.0,0.0,0.0,0.0
3376,0.0,0.0,0.0,0.0
5064,0.0,0.0,0.0,0.0
6752,0.0,0.0,0.0,0.0
8440,0.0,0.0,0.0,0.0
10128,0.0,0.0,0.0,0.0
11816,0.0,0.0,0.0,0.0
13504,0.0,0.0,0.0,0.0
15192,0.0,0.0,0.0,0.0
16880,0.0,0.0,0.0,0.0
18568,0.0,0.0,0.0,0.0
20256,0.0,0.0,0.0,0.0
21944,0.0,0.0,0.0,0.0
23632,0.0,0.0,0.0,0.0
25320,0.0,0.0,0.0,0.0
27008,0.0,0.0,0.0,0.0
28696,0.0,0.0,0.0,0.0
30384,0.0,0.0,0.0,0.0
32072,0.0,0.0,0.0,0.0
33760,0.0,0.0,0.0,0.0
35448,0.0,0.0,0.0,0.0
37136,0.0,0.0,0.0,0.0
38824,0.0,0.0,0.0,0.0
40512,0.0,0.0,0.0,0.0
42200,0.0,0.0,0.0,0.0
43888,0.0,0.0,0.0,0.0
45576,0.0,0.0,0.0,0.0
47264,0.0,0.0,0.0,0.0
48952,0.0,0.0,0.0,0.0
50640,0.0,0.0,0.0,0.0
52328,0.0,0.0,0.0,0.0
54016,0.0,0.0,0.0,0.0
55704,0.0,0.0,0.0,0.0
57392,0.0,0.0,0.0,0.0
59080,0.0,0.0,0.0,0.0
60768,0.0,0.0,0.0,0.0
62456,0.0,0.0,0.0,0.0
64144,0.0,0.0,0.0,0.0
65832,0.0,0.0,0.0,0.0
67520,0.0,0.0,0.0,0.0
69208,0.0,0.0,0.0,0.0
70896,0.0,0.0,0.0,0.0
72584,0.0,0.0,0.0,0.0
74272,0.0,0.0,0.0,0.0
75960,0.0,0.0,0.0,0.0
77648,0.0,0.0,0.0,0.0
79336,0.0,0.0,0.0,0.0
81024,0.0,0.0,0.0,0.0
82712,0.0,0.0,0.0,0.0
84400,0.0,0.0,0.0,0.0
