step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.2756660705566406,0.9424999843041102,0.9516666491826375,0.2045075288042426,0.17250052864352863
4000,0.001,1.0,0.07239229888916016,0.9598333140214285,0.9618333121140797,0.1424725193840762,0.12916345068564017
6000,0.001,1.0,0.04866002197265625,0.9633333096901576,0.9666666408379873,0.13277376675978303,0.11488191364333034
8000,0.001,1.0,0.03641801147460937,0.9636666436990102,0.9693333059549332,0.12050472550715009,0.10757702576617399
10000,0.001,1.0,0.02922223434448242,0.9661666413148244,0.9694999724626541,0.11322367366713783,0.10275536401507755
12000,0.001,1.0,0.024557466888427734,0.9653333097696304,0.968833307425181,0.11207685253272454,0.1018998266197741
14000,0.001,1.0,0.021514066314697267,0.9664999743302664,0.9696666399637858,0.10891360092597703,0.10037132152356207
16000,0.001,1.0,0.01924229507446289,0.9669999748468399,0.9696666419506073,0.10846047292773922,0.09985648980364203
18000,0.001,1.0,0.01777463836669922,0.9674999743700028,0.9698333074649175,0.10604500275415679,0.09912122266056637
20000,0.001,1.0,0.0165598445892334,0.9689999719460806,0.9696666409571966,0.10386162221742173,0.09796128900100788
22000,0.001,1.0,0.015552684402465822,0.9696666399637858,0.9698333074649175,0.10156335850867132,0.09693953450769185
24000,0.001,1.0,0.014771995925903319,0.969166640440623,0.9699999729792277,0.09974856480645637,0.09612516886554659
26000,0.001,1.0,0.01416756362915039,0.9698333064715068,0.9701666404803594,0.09988738495546083,0.09614606047980487
28000,0.001,1.0,0.013643745803833008,0.9691666414340337,0.9703333069880803,0.09953433874373635,0.09624054363618294
30000,0.001,1.0,0.013195733642578124,0.9694999734560649,0.9701666394869487,0.09995062598027289,0.0958651351587226
32000,0.001,1.0,0.012831805801391602,0.9696666389703751,0.9708333065112432,0.09954080490084986,0.09495232456053297
34000,0.001,1.0,0.01255583152770996,0.969333306948344,0.9706666400035222,0.09986799010075628,0.09482784988358617
36000,0.001,1.0,0.01230508918762207,0.9701666394869487,0.9703333069880803,0.09942452140773336,0.09517455312112967
38000,0.001,1.0,0.01211356086730957,0.9703333059946696,0.9699999729792277,0.09851031081440548,0.09451609704022607
40000,0.001,1.0,0.01185714111328125,0.970499974489212,0.9704999725023905,0.09758829882678886,0.09398849077212314
42000,0.001,1.0,0.011705639648437498,0.9708333075046539,0.9701666394869487,0.09646804981554548,0.09405722434942922
44000,0.001,1.0,0.011555097198486328,0.9711666385332743,0.9704999725023905,0.09661669754423201,0.09345765043981373
46000,0.001,1.0,0.011433095169067382,0.970666640996933,0.9711666385332743,0.09688699636608362,0.09381735450588166
