step,thresh_0_0,thresh_0_1,thresh_0_2
844,0.25,0.5,0.75
1688,0.25,0.5,0.75
2532,0.25,0.5,0.75
3376,0.25,0.5,0.75
4220,0.25,0.5,0.75
5064,0.25,0.5,0.75
5908,0.25,0.5,0.75
6752,0.25,0.5,0.75
7596,0.25,0.5,0.75
8440,0.25,0.5,0.75
9284,0.25,0.5,0.75
10128,0.25,0.5,0.75
10972,0.25,0.5,0.75
11816,0.25,0.5,0.75
12660,0.25,0.5,0.75
13504,0.25,0.5,0.75
14348,0.25,0.5,0.75
15192,0.25,0.5,0.75
16036,0.25,0.5,0.75
16880,0.25,0.5,0.75
17724,0.25,0.5,0.75
18568,0.25,0.5,0.75
19412,0.25,0.5,0.75
20256,0.25,0.5,0.75
21100,0.25,0.5,0.75
21944,0.25,0.5,0.75
22788,0.25,0.5,0.75
23632,0.25,0.5,0.75
24476,0.25,0.5,0.75
25320,0.25,0.5,0.75
26164,0.25,0.5,0.75
27008,0.25,0.5,0.75
27852,0.25,0.5,0.75
28696,0.25,0.5,0.75
29540,0.25,0.5,0.75
30384,0.25,0.5,0.75
31228,0.25,0.5,0.75
32072,0.25,0.5,0.75
32916,0.25,0.5,0.75
33760,0.25,0.5,0.75
34604,0.25,0.5,0.75
35448,0.25,0.5,0.75
36292,0.25,0.5,0.75
37136,0.25,0.5,0.75
37980,0.25,0.5,0.75
38824,0.25,0.5,0.75
39668,0.25,0.5,0.75
40512,0.25,0.5,0.75
41356,0.25,0.5,0.75
42200,0.25,0.5,0.75
