step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.477919807434082,0.5158,0.5384,1.389683581352234,1.290652109336853
4000,0.001,1.0,0.3992432403564453,0.5438,0.5666,1.2631248697280884,1.2018416596412658
6000,0.001,1.0,0.37990856170654297,0.556,0.5844,1.2422765357017518,1.161385859298706
8000,0.001,1.0,0.36818958282470704,0.568,0.5978,1.2071878732681274,1.1372878247261047
10000,0.001,1.0,0.3611387634277344,0.5762,0.6006,1.1906209176063538,1.1203019282341002
12000,0.001,1.0,0.35623260498046877,0.5754,0.6016,1.1867942821502686,1.1110501753807067
14000,0.001,1.0,0.3522566986083985,0.5708,0.6082,1.193445492362976,1.1030632322311402
16000,0.001,1.0,0.3482524490356445,0.573,0.6084,1.1800329278945922,1.0969369438171386
18000,0.001,1.0,0.34589931488037107,0.5818,0.6152,1.167926121902466,1.0895289264678956
20000,0.001,1.0,0.3439151763916016,0.58,0.619,1.1656375591278076,1.0862471755027772
