step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.5076777648925781,0.484,0.5222,1.4685556739807129,1.3812923112869262
4000,0.001,1.0,0.4263065719604492,0.525,0.551,1.3535205976486206,1.2836476877212524
6000,0.001,1.0,0.40549842834472655,0.5246,0.5646,1.3494413837432861,1.2478926899909972
8000,0.001,1.0,0.3934505081176758,0.5338,0.5746,1.2946073831558227,1.2144226601600647
10000,0.001,1.0,0.3851628875732422,0.5488,0.5822,1.2743221042633057,1.1993474844932557
12000,0.001,1.0,0.3793663406372071,0.5508,0.5886,1.2676186738967896,1.183409355545044
14000,0.001,1.0,0.37521156311035153,0.5672,0.5916,1.2432443689346313,1.1801174068450928
16000,0.001,1.0,0.3713661193847656,0.566,0.5922,1.2379975457191468,1.174940658378601
18000,0.001,1.0,0.3679753875732422,0.5656,0.5892,1.2256689586639404,1.1688796012878417
20000,0.001,1.0,0.3661035919189453,0.5696,0.5952,1.2307832679748536,1.1622608540534973
