step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.4788932800292969,0.5188,0.5588,1.3570237380981445,1.267752260017395
4000,0.001,1.0,0.39954772949218753,0.5524,0.5776,1.2724090211868286,1.194273412322998
6000,0.001,1.0,0.37970169067382814,0.5706,0.5956,1.225569364643097,1.1534732746124268
8000,0.001,1.0,0.36892898559570314,0.5698,0.6026,1.2062850843429564,1.1343315884590148
10000,0.001,1.0,0.36176109313964844,0.5788,0.6066,1.1895232475280761,1.1214544214248656
12000,0.001,1.0,0.35655670166015624,0.5772,0.6182,1.1918065547943115,1.1048299613952637
14000,0.001,1.0,0.35134868621826176,0.5772,0.616,1.19121105594635,1.0956353094100952
16000,0.001,1.0,0.3486510467529297,0.5828,0.6158,1.1736655989646911,1.089343074321747
18000,0.001,1.0,0.3456322860717773,0.5834,0.6192,1.1751291863441466,1.0798709401130677
20000,0.001,1.0,0.34369598388671874,0.579,0.6212,1.1736523084640502,1.0761214923858642
