step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.48672523498535153,0.496,0.5396,1.4502420909881593,1.3032138860702516
4000,0.001,1.0,0.404136962890625,0.5482,0.5754,1.301143341064453,1.2096129795074464
6000,0.001,1.0,0.38338523864746094,0.558,0.5884,1.2568872319221496,1.1700957410812378
8000,0.001,1.0,0.3716382598876953,0.5642,0.5964,1.2217604022026063,1.146966682243347
10000,0.001,1.0,0.36385791778564447,0.5738,0.6034,1.2031686492919922,1.1277450924873351
12000,0.001,1.0,0.3587720108032227,0.577,0.6046,1.1966684202194213,1.1189369760513306
14000,0.001,1.0,0.35372009277343747,0.5778,0.6106,1.1874583808898926,1.111393779182434
16000,0.001,1.0,0.3502523422241211,0.5828,0.6094,1.1788052596092224,1.1047921677589416
18000,0.001,1.0,0.3477106475830078,0.585,0.6088,1.1809397790908813,1.0991632855415345
20000,0.001,1.0,0.3455234146118164,0.5894,0.6094,1.164139425086975,1.0947934635162353
