step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.7664428100585937,0.5231999868154525,0.5313999825716018,1.5829291081428527,1.3420276832580567
4000,0.001,1.0,0.5371177368164062,0.544599986076355,0.560799987912178,1.3365073442459106,1.244595363140106
6000,0.001,1.0,0.41950299072265623,0.569399990439415,0.5801999896764756,1.2199721014499665,1.1965412604808807
8000,0.001,1.0,0.34529666137695314,0.5727999871969223,0.5835999894142151,1.214937778711319,1.1838842499256135
10000,0.001,1.0,0.3001332092285156,0.5757999885082244,0.5881999891996383,1.1940001618862153,1.1781369543075562
12000,0.001,1.0,0.2707120361328125,0.587999986410141,0.5891999882459641,1.175763475894928,1.1702906453609467
14000,0.001,1.0,0.2515885925292969,0.5869999873638153,0.584799987077713,1.175041538476944,1.1684770429134368
16000,0.001,1.0,0.23835806274414062,0.5853999882936478,0.5883999860286713,1.173387084007263,1.1700890254974365
18000,0.001,1.0,0.22832254028320315,0.5831999880075455,0.5883999872207641,1.174903814792633,1.1679207932949067
20000,0.001,1.0,0.22096510314941406,0.5851999884843826,0.5855999851226806,1.1719221258163453,1.1677066469192505
