step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.5324478149414062,0.4132,0.4404,1.6212887550354005,1.577903832244873
4000,0.001,1.0,0.4952816772460938,0.3808,0.43,1.6850151302337646,1.582148002243042
6000,0.001,1.0,0.49726337432861323,0.4294,0.4486,1.5789752239227295,1.5473116428375244
8000,0.001,1.0,0.4968209075927734,0.4502,0.4588,1.569643853378296,1.5473712482452393
10000,0.001,1.0,0.5129280853271485,0.3708,0.4206,1.7198589656829835,1.6296756967544557
12000,0.001,1.0,0.522659912109375,0.409,0.4134,1.6788951335906983,1.6650674396514893
14000,0.001,1.0,0.5302167510986329,0.4012,0.419,1.6804215007781982,1.650408827972412
16000,0.001,1.0,0.52800537109375,0.3754,0.4066,1.7485152254104614,1.6967314729690552
18000,0.001,1.0,0.5432736968994141,0.3396,0.3912,1.815605694770813,1.7214694404602051
20000,0.001,1.0,0.5481325149536133,0.3606,0.3898,1.7876959743499756,1.7272799949645996
