step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.5297527694702149,0.3906,0.447,1.6990368186950684,1.5540283641815185
4000,0.001,1.0,0.4923585891723633,0.4326,0.452,1.5764379682540894,1.5360280792236327
6000,0.001,1.0,0.4961045837402344,0.4284,0.4424,1.5958340831756592,1.5707689573287964
8000,0.001,1.0,0.499047737121582,0.4502,0.4566,1.562732304763794,1.5517722743988036
10000,0.001,1.0,0.49944828033447264,0.3968,0.417,1.6731354763031006,1.631929666519165
12000,0.001,1.0,0.5130144119262695,0.4164,0.4328,1.624204849243164,1.6020264854431152
14000,0.001,1.0,0.5127247619628906,0.404,0.4322,1.6349508251190186,1.6021714748382567
16000,0.001,1.0,0.5265571594238281,0.3498,0.3982,1.7719553089141846,1.7031899501800538
18000,0.001,1.0,0.5427087783813477,0.345,0.3898,1.7826032752990724,1.720164241027832
20000,0.001,1.0,0.5534120178222656,0.3032,0.3692,1.8581231269836427,1.7674692337036133
