step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.44523910522460936,0.4314,0.6188,1.8840159107208252,1.090345749950409
4000,0.001,1.0,0.33307632446289065,0.5472,0.6576,1.402429248905182,0.9667059170722961
6000,0.001,1.0,0.2991925621032715,0.6208,0.6734,1.1175534333229065,0.9084999147415161
8000,0.001,1.0,0.2783990478515625,0.6502,0.684,0.9808665776729584,0.8790095565795898
10000,0.001,1.0,0.2631740760803223,0.6632,0.6952,0.9945915385246277,0.855985206079483
12000,0.001,1.0,0.2515464973449707,0.6698,0.6988,0.9360923466682434,0.8345823677539825
14000,0.001,1.0,0.2422503089904785,0.6784,0.7034,0.913706451034546,0.8297201954841614
16000,0.001,1.0,0.23445999145507812,0.6812,0.7034,0.9002420136451721,0.8234495768547058
18000,0.001,1.0,0.22782276153564454,0.6822,0.7086,0.9042869452953338,0.8170111427307128
20000,0.001,1.0,0.222482852935791,0.6836,0.7094,0.9054643935203552,0.8121314768791199
22000,0.001,1.0,0.21709262847900393,0.6892,0.7174,0.8928048352241517,0.8051975534439086
24000,0.001,1.0,0.21356882095336913,0.696,0.7148,0.8819413741111756,0.8012139269828796
26000,0.001,1.0,0.20945823669433594,0.69,0.7172,0.8810772346019745,0.8001225073814392
28000,0.001,1.0,0.20647136688232423,0.6896,0.721,0.8762107604026794,0.7999270004749298
30000,0.001,1.0,0.20316734313964843,0.6952,0.7218,0.8896100345134735,0.7950591315269471
32000,0.001,1.0,0.20043395996093752,0.6908,0.7244,0.8759444171905517,0.7901679948806762
34000,0.001,1.0,0.19800838470458987,0.689,0.7186,0.8803011499404907,0.795273523426056
36000,0.001,1.0,0.19505138397216795,0.701,0.7226,0.8715590881824493,0.7939729014396667
38000,0.001,1.0,0.19341192245483396,0.695,0.7202,0.8616935067176819,0.7944231574058532
40000,0.001,1.0,0.1912544059753418,0.703,0.7202,0.8519490090370179,0.7890343943595887
42000,0.001,1.0,0.18939306259155272,0.6968,0.7174,0.8661005334854126,0.7944374597072601
44000,0.001,1.0,0.18841432571411132,0.696,0.7132,0.8647715382575989,0.7950542909622192
46000,0.001,1.0,0.18689958572387697,0.7004,0.7182,0.8571816282272339,0.7905200807094575
48000,0.001,1.0,0.18497434616088868,0.6992,0.72,0.8598919396400452,0.7933672618389129
50000,0.001,1.0,0.1838294219970703,0.7014,0.7212,0.8607950772762298,0.7939545595169067
52000,0.001,1.0,0.18236009597778322,0.7012,0.718,0.8628171779155731,0.7966265571117401
54000,0.001,1.0,0.18128952026367187,0.7024,0.7224,0.856535321855545,0.7918192115783691
56000,0.001,1.0,0.18065502166748046,0.704,0.7174,0.8561188887119293,0.7896309129714966
58000,0.001,1.0,0.17946802139282225,0.7078,0.719,0.8551355887413025,0.7920679533958435
60000,0.001,1.0,0.17854122161865232,0.7038,0.7228,0.8476499858856201,0.7919153487682342
62000,0.001,1.0,0.1779148483276367,0.6986,0.7206,0.8490753637313843,0.7896240456581116
64000,0.001,1.0,0.17703393936157225,0.7088,0.722,0.8392857591629028,0.7842663390636444
66000,0.001,1.0,0.17568485260009764,0.7016,0.7238,0.8436422315597534,0.7826460470199585
68000,0.001,1.0,0.1757365798950195,0.7122,0.7218,0.8370581722736359,0.7839196062088013
70000,0.001,1.0,0.17460500717163085,0.7026,0.7188,0.8500702861785888,0.7887823372840881
72000,0.001,1.0,0.17451049804687502,0.7056,0.7218,0.8332868618965149,0.782505151462555
74000,0.001,1.0,0.17346683502197263,0.7074,0.7234,0.8454776076316833,0.7826278510093689
76000,0.001,1.0,0.17298187255859376,0.7046,0.7188,0.84181496925354,0.7833641606330871
78000,0.001,1.0,0.17275236129760743,0.7004,0.724,0.8449397411346435,0.7820548332214355
80000,0.001,1.0,0.171546573638916,0.71,0.7242,0.8402944459915161,0.7799858064651489
82000,0.001,1.0,0.1713982009887695,0.7078,0.7218,0.8481343565940856,0.7830906317710876
84000,0.001,1.0,0.17001752853393556,0.702,0.7222,0.8487683699607849,0.7865475034236908
86000,0.001,1.0,0.17032472610473634,0.705,0.7248,0.8432388919353485,0.7808656711578369
88000,0.001,1.0,0.1693863868713379,0.703,0.7204,0.8356536319732666,0.7822872659683228
90000,0.001,1.0,0.16949655532836916,0.7056,0.7206,0.8426223335266113,0.7876962377548218
92000,0.001,1.0,0.1692299461364746,0.7038,0.7236,0.8459151567459107,0.7864697097301483
94000,0.001,1.0,0.16816307067871095,0.6998,0.7238,0.8472603296279907,0.7821102529525756
96000,0.001,1.0,0.16847463607788088,0.6986,0.7254,0.8576822388648987,0.7862072153091431
98000,0.001,1.0,0.1676344871520996,0.7038,0.7204,0.8394835146903992,0.7826793377876282
100000,0.001,1.0,0.16727848052978514,0.6978,0.719,0.8550878695487976,0.7889860408306122
102000,0.001,1.0,0.16704006195068358,0.703,0.7212,0.8575994542121887,0.785171478843689
104000,0.001,1.0,0.16675695419311523,0.7054,0.7212,0.838872398519516,0.7874307861328125
106000,0.001,1.0,0.1666329002380371,0.7024,0.7222,0.8539011336803436,0.7843345123291016
108000,0.001,1.0,0.16595855712890625,0.7034,0.7248,0.8454522351264954,0.7852644145011902
110000,0.001,1.0,0.16608942031860352,0.7102,0.7222,0.8454603496551514,0.7851407281875611
112000,0.001,1.0,0.1659044075012207,0.7018,0.726,0.8540135754585266,0.7834072896480561
114000,0.001,1.0,0.1657957077026367,0.7068,0.724,0.8383160512924195,0.7833413237571716
116000,0.001,1.0,0.1655204772949219,0.7062,0.7238,0.8441129954338074,0.7811312829494477
118000,0.001,1.0,0.16424270629882814,0.7108,0.7244,0.843371025466919,0.7823133563041687
120000,0.001,1.0,0.1646903419494629,0.7086,0.7256,0.8500529446601868,0.7825841338157654
122000,0.001,1.0,0.16456073760986328,0.7072,0.7238,0.8445686585426331,0.7847599821090698
124000,0.001,1.0,0.164345588684082,0.7072,0.7232,0.8413863861083984,0.7831771633148193
126000,0.001,1.0,0.16378822326660156,0.7062,0.7248,0.8494269422531128,0.7871882346153259
128000,0.001,1.0,0.16342916488647463,0.7072,0.727,0.8516500594139099,0.7820194719314575
130000,0.001,1.0,0.16343448638916017,0.7056,0.7248,0.848479560470581,0.7834884983539582
132000,0.001,1.0,0.16326278686523438,0.7104,0.7288,0.8403130390167236,0.7818668934822083
134000,0.001,1.0,0.16293745040893554,0.7094,0.7284,0.8296453172683715,0.7836650054931641
136000,0.001,1.0,0.16259462356567383,0.7104,0.7266,0.8414743883132935,0.7830897030353546
138000,0.001,1.0,0.16269708633422852,0.7078,0.726,0.8494816385269165,0.784364437675476
140000,0.001,1.0,0.1623552131652832,0.7056,0.7292,0.8449857643127442,0.7830691390037536
142000,0.001,1.0,0.16204166412353516,0.7042,0.7258,0.8480197669982911,0.7872100714206696
144000,0.001,1.0,0.16180620193481446,0.7108,0.7278,0.8362536733150482,0.7867089970111847
146000,0.001,1.0,0.16168880462646484,0.7088,0.7296,0.8420520588874817,0.7846214076042175
148000,0.001,1.0,0.1615384292602539,0.7058,0.7284,0.8472477108955383,0.785091144323349
150000,0.001,1.0,0.16159383773803712,0.7092,0.7264,0.8406306546211243,0.7858540076255799
152000,0.001,1.0,0.16166393280029295,0.7086,0.7248,0.8472475204467773,0.7852099801063538
154000,0.001,1.0,0.16095794677734376,0.7092,0.7258,0.8464526819229126,0.7881553386211395
156000,0.001,1.0,0.1615222930908203,0.7006,0.7224,0.8402576350212098,0.783715593624115
158000,0.001,1.0,0.16092079162597656,0.7056,0.7248,0.8531876258850097,0.7870644313335419
160000,0.001,1.0,0.1606452751159668,0.7044,0.726,0.8424463905334473,0.7849019601821899
162000,0.001,1.0,0.1604252624511719,0.7024,0.7268,0.8393043801784515,0.7839953480243683
164000,0.001,1.0,0.16088071823120115,0.704,0.7244,0.8453696225166321,0.7864605181694031
166000,0.001,1.0,0.1597273349761963,0.7034,0.722,0.8368936372280121,0.7878950514793396
168000,0.001,1.0,0.16005849838256836,0.7058,0.7262,0.8381633682727814,0.7852650014877319
170000,0.001,1.0,0.15994240760803222,0.7048,0.7236,0.8461533087730407,0.7880051777839661
172000,0.001,1.0,0.1600872039794922,0.7064,0.7264,0.8532936835289001,0.7863769730091095
174000,0.001,1.0,0.15920426368713378,0.7074,0.7278,0.8423537264823914,0.785548456287384
176000,0.001,1.0,0.1599862766265869,0.701,0.7224,0.8469199196815491,0.7884586674690247
178000,0.001,1.0,0.1595049476623535,0.7082,0.7244,0.8428578430175782,0.7875500846385955
180000,0.001,1.0,0.15947274208068848,0.7058,0.723,0.8395893346786499,0.7856893718719482
182000,0.001,1.0,0.15938262939453124,0.7082,0.7216,0.8432902669906617,0.7899270215034485
184000,0.001,1.0,0.15903199195861817,0.7058,0.724,0.8451385438919068,0.7874293342590332
186000,0.001,1.0,0.1588075065612793,0.7066,0.725,0.8415307877540589,0.7871601258277893
188000,0.001,1.0,0.15905871391296386,0.7082,0.7248,0.8372445255279541,0.7881192873001098
190000,0.001,1.0,0.15945325851440428,0.7116,0.7248,0.8368173393726349,0.7859620671272278
192000,0.001,1.0,0.15870494842529295,0.7084,0.7248,0.8395931559562683,0.7858425029754639
194000,0.001,1.0,0.15878344535827638,0.7126,0.725,0.834136886882782,0.7860892525196076
196000,0.001,1.0,0.15815149307250975,0.7112,0.7284,0.834028282213211,0.7848202068328858
198000,0.001,1.0,0.1585143280029297,0.7056,0.7244,0.8447427927970886,0.7867573716163635
200000,0.001,1.0,0.15870702743530274,0.7028,0.729,0.8485319099903107,0.7864053250312805
