step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.44961269378662105,0.4114,0.6168,2.0143286487579344,1.1032532955169678
4000,0.001,1.0,0.34154075622558594,0.504,0.6482,1.6117404685974122,0.9838131102561951
6000,0.001,1.0,0.30848213195800783,0.5688,0.675,1.3036582172393798,0.920243703174591
8000,0.001,1.0,0.2876470947265625,0.6054,0.689,1.1576455156326293,0.8871716094970703
10000,0.001,1.0,0.2727074241638184,0.6234,0.6914,1.1025579080581664,0.8703801779747009
12000,0.001,1.0,0.26105966567993166,0.6578,0.704,0.9816966153144836,0.8442243491649628
14000,0.001,1.0,0.25200469970703127,0.6662,0.7058,0.9609851707458497,0.8383886663436889
16000,0.001,1.0,0.24464954376220704,0.678,0.7058,0.9322820649147033,0.8334337707519531
18000,0.001,1.0,0.2377248001098633,0.6866,0.7086,0.923041242647171,0.8291565717220306
20000,0.001,1.0,0.2327256393432617,0.6774,0.712,0.916048194694519,0.8264650671958923
22000,0.001,1.0,0.2273098373413086,0.6814,0.7156,0.9115599618911743,0.8193454455375672
24000,0.001,1.0,0.22368860244750977,0.6812,0.7096,0.9147789752006531,0.8139383165359497
26000,0.001,1.0,0.2193939781188965,0.6822,0.7092,0.9013111064910889,0.8161230673789978
28000,0.001,1.0,0.21634458541870116,0.6858,0.7118,0.8996165042877198,0.8113469711303711
30000,0.001,1.0,0.2130536460876465,0.6886,0.716,0.8920192014694214,0.8078593560695648
32000,0.001,1.0,0.21006315231323242,0.688,0.717,0.8895085968971252,0.8016282237529755
34000,0.001,1.0,0.20815860748291015,0.6834,0.7124,0.9000444106578827,0.8047134380817413
36000,0.001,1.0,0.20509458541870115,0.6936,0.7168,0.8720309914588928,0.8022494302749634
38000,0.001,1.0,0.20345205307006836,0.6908,0.719,0.8797033875465393,0.8041953660964966
40000,0.001,1.0,0.20173202514648436,0.687,0.713,0.8793521367073059,0.7966608876228333
42000,0.001,1.0,0.19908823013305665,0.693,0.7116,0.8792928610801697,0.8022682349681854
44000,0.001,1.0,0.19822742462158202,0.6784,0.7128,0.8991159482002258,0.8031048910140991
46000,0.001,1.0,0.19674129486083985,0.689,0.7106,0.8797486629962921,0.7970783193588257
48000,0.001,1.0,0.19503129959106444,0.6902,0.7136,0.8756815999031067,0.7993663306713105
50000,0.001,1.0,0.19382207870483398,0.6986,0.715,0.8625486421585083,0.7967164319992065
52000,0.001,1.0,0.19278532028198242,0.6882,0.7134,0.8827678127288818,0.7975276673316956
54000,0.001,1.0,0.19113157272338868,0.6904,0.7198,0.865090474319458,0.7951314857482911
56000,0.001,1.0,0.19034978866577149,0.6922,0.7148,0.8742524393081665,0.7954867601394653
58000,0.001,1.0,0.18946800231933594,0.6946,0.7162,0.8784090272903442,0.7984226445198059
60000,0.001,1.0,0.18809429168701175,0.6906,0.7194,0.8757289304733277,0.7967030333995819
62000,0.001,1.0,0.18733848571777345,0.6954,0.718,0.8667837759017945,0.7939594454288482
64000,0.001,1.0,0.18685361862182617,0.6944,0.717,0.8688441174983978,0.7945064081192017
66000,0.001,1.0,0.18575796127319333,0.7008,0.7158,0.8657513182640075,0.7922356431007386
68000,0.001,1.0,0.18541070938110354,0.6956,0.7188,0.8670393802165985,0.7901240599155426
70000,0.001,1.0,0.1844595718383789,0.6948,0.719,0.862341425037384,0.7941582718849182
72000,0.001,1.0,0.1839150047302246,0.6958,0.7188,0.8606121058940888,0.7907913716316223
74000,0.001,1.0,0.18312227249145507,0.693,0.7178,0.8736387226581573,0.7930372706413269
76000,0.001,1.0,0.18222255706787108,0.698,0.7154,0.8608071397781372,0.7895630348205567
78000,0.001,1.0,0.18239160537719729,0.6892,0.7156,0.8587412467002868,0.7914055441856385
80000,0.001,1.0,0.1813701629638672,0.6968,0.72,0.8604306067466736,0.7907731840133667
82000,0.001,1.0,0.18167268753051757,0.6882,0.7148,0.863807593345642,0.7905764679908752
84000,0.001,1.0,0.18031442642211915,0.6906,0.7162,0.8643677103042603,0.7940107475757598
86000,0.001,1.0,0.17980886459350587,0.6874,0.7162,0.8695252314567566,0.7919327414035797
88000,0.001,1.0,0.17903337478637693,0.6952,0.7234,0.8561675320625305,0.7899940596580506
90000,0.001,1.0,0.17894975662231444,0.6932,0.7194,0.8613391714096069,0.7927439391613007
92000,0.001,1.0,0.17915489196777346,0.6938,0.718,0.8642559874534607,0.7947486916065216
94000,0.001,1.0,0.17800601959228515,0.7022,0.7218,0.8535804941654205,0.7900678903102875
96000,0.001,1.0,0.1778498649597168,0.6978,0.7192,0.8622889419078827,0.7905486206531525
98000,0.001,1.0,0.17725616455078125,0.6982,0.72,0.8488828941345214,0.7885035620689392
100000,0.001,1.0,0.17761989593505859,0.694,0.7168,0.8561649659156799,0.7913944254875183
102000,0.001,1.0,0.176788330078125,0.6998,0.7188,0.8474976336479187,0.7895493806838989
104000,0.001,1.0,0.17677984237670896,0.695,0.7214,0.849137902355194,0.7891922247886658
106000,0.001,1.0,0.17636814117431643,0.6944,0.7188,0.86516758852005,0.7900402910232543
108000,0.001,1.0,0.17574613571166992,0.6862,0.7186,0.8607793113708496,0.7932369927406311
110000,0.001,1.0,0.17533689498901367,0.6926,0.7202,0.866553446674347,0.7917272890090943
112000,0.001,1.0,0.17520502090454104,0.6944,0.7186,0.8632513497829437,0.7881550825119018
114000,0.001,1.0,0.17490100860595703,0.6924,0.7158,0.8550945321083069,0.7909465084552765
116000,0.001,1.0,0.17503973007202148,0.6876,0.7182,0.8819528038978577,0.7910989864826202
118000,0.001,1.0,0.17409908294677734,0.6896,0.721,0.8640379460334778,0.7870041007041931
120000,0.001,1.0,0.17388893127441407,0.6846,0.7174,0.8646030373096466,0.7893374904155731
122000,0.001,1.0,0.17412208557128908,0.695,0.7162,0.8472888587474823,0.7889162352085114
