step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.43116466522216795,0.4848,0.635,1.6721366306304932,1.043009634590149
4000,0.001,1.0,0.3190958786010742,0.565,0.6718,1.3522900085449219,0.9240922673225402
6000,0.001,1.0,0.2859261703491211,0.6282,0.6946,1.1272458755493164,0.877650332736969
8000,0.001,1.0,0.2646976470947266,0.653,0.7058,1.000493409061432,0.8484615535736084
10000,0.001,1.0,0.24966800689697266,0.6548,0.7094,0.9961130393981934,0.8318395839691162
12000,0.001,1.0,0.23754962921142575,0.6812,0.7164,0.9317107069015503,0.8137707286834717
14000,0.001,1.0,0.22758872985839843,0.68,0.7178,0.920316180896759,0.8092559475898743
16000,0.001,1.0,0.21963165283203123,0.6778,0.7204,0.9227340085983277,0.804506090259552
18000,0.001,1.0,0.21315425872802735,0.682,0.7158,0.9154872193813324,0.8008702367782593
20000,0.001,1.0,0.2078348159790039,0.6886,0.721,0.8974411630630493,0.7978470620632172
22000,0.001,1.0,0.202134952545166,0.6932,0.727,0.8829086925506592,0.7908269956588745
24000,0.001,1.0,0.19830413818359374,0.6964,0.729,0.8867119953155518,0.7871303621292114
26000,0.001,1.0,0.19426658630371096,0.6962,0.7258,0.8784122114181518,0.7852178405761718
28000,0.001,1.0,0.19101427078247069,0.6958,0.7302,0.873806165599823,0.7866601485729218
30000,0.001,1.0,0.18788028717041017,0.696,0.7284,0.8663978229522705,0.7868176048278809
32000,0.001,1.0,0.18533639907836913,0.6906,0.728,0.8687730625152588,0.7826878102302551
34000,0.001,1.0,0.18300968170166015,0.7018,0.731,0.8616865281105042,0.7818105022430419
36000,0.001,1.0,0.180069580078125,0.7068,0.7316,0.8559845902442932,0.7788377614974975
38000,0.001,1.0,0.17863925933837893,0.7034,0.7284,0.8599016819477081,0.7804907726287842
40000,0.001,1.0,0.17645158767700198,0.707,0.7306,0.8520915919303894,0.7790554356575012
42000,0.001,1.0,0.17440948486328126,0.7074,0.7316,0.8565439803123475,0.780656857585907
44000,0.001,1.0,0.1730144882202148,0.704,0.7298,0.859421172618866,0.7823306452274322
46000,0.001,1.0,0.17165769577026369,0.7066,0.731,0.8501980261802673,0.7767558996200562
48000,0.001,1.0,0.16995294570922853,0.6994,0.7336,0.8576107028961182,0.777192809343338
50000,0.001,1.0,0.16875825881958006,0.6974,0.73,0.8513325946807861,0.7774828526496887
52000,0.001,1.0,0.16726585388183596,0.6978,0.7296,0.8637476912021637,0.7769923397064209
54000,0.001,1.0,0.166464900970459,0.7008,0.727,0.8529241018772126,0.7775073267936706
56000,0.001,1.0,0.1656712532043457,0.7056,0.7302,0.8439881590366364,0.7754389408111573
58000,0.001,1.0,0.16439653396606443,0.7014,0.7258,0.8485774333953857,0.7770989842414856
60000,0.001,1.0,0.16401926040649414,0.7038,0.7286,0.8406336116790771,0.7765536381721496
