step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.7649969482421876,0.5205999851226807,0.533199988603592,1.5693685483932496,1.338203432559967
4000,0.001,1.0,0.5358480224609375,0.5641999858617782,0.5689999860525131,1.2882513475418091,1.225180103778839
6000,0.001,1.0,0.4187941284179687,0.5777999871969223,0.58339998960495,1.2094339537620544,1.1870667135715485
8000,0.001,1.0,0.34478799438476565,0.5863999861478806,0.587999986410141,1.1877011561393738,1.1747930145263672
10000,0.001,1.0,0.2985514221191406,0.5683999878168106,0.5731999880075455,1.236898591518402,1.219263834953308
12000,0.001,1.0,0.2954273376464844,0.5835999828577042,0.5903999876976013,1.1873320901393891,1.1772678625583648
14000,0.001,1.0,0.2684188537597656,0.5915999853610993,0.5945999866724014,1.1795455610752106,1.1712986850738525
16000,0.001,1.0,0.250103744506836,0.5931999880075455,0.5923999887704849,1.1786604726314545,1.1714554727077484
18000,0.001,1.0,0.2383069152832031,0.5935999822616577,0.5929999876022339,1.1731718051433564,1.1685852420330047
20000,0.001,1.0,0.22857838439941405,0.5931999891996383,0.5955999898910522,1.175627408027649,1.1690903043746947
