step,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.4852330017089844,0.4896,0.5342,1.4369685077667236,1.2986412349700929
4000,0.40597244262695314,0.5384,0.5702,1.2986110578536987,1.2192712917327881
6000,0.38735588073730465,0.5404,0.575,1.2726836498260499,1.1885780561447143
8000,0.3768326187133789,0.544,0.5886,1.2550123428344726,1.161934182357788
10000,0.36991233825683595,0.5572,0.5962,1.2343217369079589,1.151734580039978
12000,0.36459548950195314,0.5602,0.6002,1.224272800064087,1.1389442441940307
14000,0.36016441345214845,0.56,0.6048,1.2241606725692749,1.1332208666801453
16000,0.35600685119628905,0.5666,0.6052,1.2254368615150453,1.1228350620269776
18000,0.35391136169433596,0.5638,0.6062,1.2182057462692262,1.1217346932411194
20000,0.3515560913085938,0.5688,0.6088,1.1977982215881349,1.1156737342834473
