step,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.49572555541992186,0.4936,0.5256,1.4485149883270263,1.346898112487793
4000,0.41555213928222656,0.525,0.5572,1.3259944078445434,1.2546943424224855
6000,0.3949501800537109,0.547,0.5758,1.2807209020614625,1.2127142868041991
8000,0.3832218933105469,0.5556,0.5764,1.2532832933425904,1.1898949232101441
10000,0.3755640411376953,0.564,0.5906,1.2317964334487914,1.170619672203064
12000,0.3698385620117187,0.5706,0.593,1.2237367444992064,1.1585178351402283
14000,0.36542755126953125,0.5708,0.595,1.2247869201660155,1.1500779353141786
16000,0.3615176391601563,0.5684,0.5986,1.2220899362564086,1.1413018452644348
18000,0.35878612518310543,0.5796,0.6002,1.2006710632324218,1.1327373185157776
20000,0.3564036178588867,0.5624,0.601,1.2145410440444946,1.1288487433433532
