step,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.4991440582275391,0.4788,0.5158,1.4970387283325195,1.3599055858612061
4000,0.42169631958007814,0.5238,0.5492,1.3346550685882568,1.2651101173400878
6000,0.4013003921508789,0.5344,0.5646,1.291673825454712,1.2218399143218994
8000,0.3896782302856445,0.5398,0.5732,1.2979851534843445,1.2057843284606933
10000,0.38282127380371095,0.5594,0.5834,1.2707254703521729,1.1895895520210267
12000,0.37688182830810546,0.5586,0.5908,1.2614860116004945,1.1758470888137817
14000,0.37212665557861324,0.563,0.5922,1.2545614961624145,1.1690693968772887
16000,0.36912220001220697,0.5622,0.5934,1.2339855624198914,1.1593890758514405
18000,0.3661843109130859,0.5596,0.5956,1.2385926277160644,1.1528750017166138
20000,0.36377426147460934,0.5652,0.6012,1.222334335231781,1.1469725646972657
