step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.5036799621582031,0.484,0.5238,1.4786970623016358,1.3595949769973754
4000,0.001,1.0,0.42477672576904296,0.5164,0.5482,1.3580125587463379,1.2751508657455444
6000,0.001,1.0,0.40507633209228516,0.5432,0.5656,1.2808757400512696,1.232616027545929
8000,0.001,1.0,0.393412971496582,0.5446,0.5718,1.2779114415168762,1.2147883838653564
10000,0.001,1.0,0.3862662506103515,0.5516,0.5788,1.2647388982772827,1.1929133595466614
12000,0.001,1.0,0.38088401794433596,0.5606,0.5808,1.2495159517288208,1.188793022441864
14000,0.001,1.0,0.3771248245239258,0.559,0.586,1.244168046283722,1.1758466762542725
16000,0.001,1.0,0.37347259521484377,0.5684,0.5886,1.2306978023529054,1.1645405679702758
18000,0.001,1.0,0.37049213409423826,0.5742,0.5914,1.2251958837509156,1.156662483882904
20000,0.001,1.0,0.3673410034179687,0.5724,0.5962,1.2200674989700317,1.1495889684677123
