step,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.4881657028198242,0.4898,0.5336,1.4667557355880738,1.318314485359192
4000,0.41125988006591796,0.5276,0.5628,1.3206276119232179,1.227655661201477
6000,0.39081516265869143,0.5534,0.5798,1.2603992367744445,1.1810598545074462
8000,0.37818572998046873,0.5598,0.593,1.2288894525527954,1.1527024930000305
10000,0.3699805068969726,0.5708,0.6024,1.2263241993904115,1.1340911689758302
12000,0.36444328308105467,0.578,0.6062,1.2026711142539979,1.121746653842926
14000,0.3605546569824219,0.5764,0.607,1.1895005259513856,1.1132572156906129
16000,0.3560625076293945,0.5748,0.614,1.2199514310836792,1.1077357324600219
18000,0.35365566253662106,0.5774,0.6162,1.2052851030349732,1.099916676712036
20000,0.3519874954223633,0.5762,0.616,1.2039394123077392,1.094547357082367
