step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.4945825576782226,0.4792,0.5218,1.4638101366996765,1.3522707649230956
4000,0.001,1.0,0.41629955291748044,0.5286,0.557,1.3340127975463867,1.2525477188110352
6000,0.001,1.0,0.3959772872924805,0.5442,0.5756,1.290781298828125,1.2111670686721803
8000,0.001,1.0,0.3842255783081055,0.5522,0.5848,1.2571874195098878,1.1851894605636597
10000,0.001,1.0,0.376092414855957,0.5504,0.5878,1.258790659713745,1.172761463546753
12000,0.001,1.0,0.3703717422485352,0.5638,0.5956,1.2331336540222169,1.1566564628601075
14000,0.001,1.0,0.36522823333740234,0.5612,0.5952,1.217841760635376,1.1419163772583008
16000,0.001,1.0,0.36140281677246094,0.5706,0.5976,1.222129316520691,1.1360204458236693
18000,0.001,1.0,0.3589908599853515,0.5648,0.6068,1.220058049583435,1.1280860973358153
20000,0.001,1.0,0.35590389251708987,0.5712,0.6102,1.203293358039856,1.1224673105239868
