step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.4926797866821289,0.4908,0.5254,1.4608364978790283,1.332869120979309
4000,0.001,1.0,0.41221649169921876,0.5356,0.5654,1.3074857328414917,1.2439124877929688
6000,0.001,1.0,0.3927567672729492,0.5508,0.58,1.2644929565429688,1.2016429149627685
8000,0.001,1.0,0.38195213317871096,0.5546,0.5866,1.253961379814148,1.1816497295379638
10000,0.001,1.0,0.37434921264648435,0.5536,0.5866,1.252348622894287,1.1675673725128173
12000,0.001,1.0,0.3694911575317383,0.566,0.5942,1.2278722904205321,1.159954785346985
14000,0.001,1.0,0.3647066116333008,0.563,0.603,1.2182531789779663,1.1484575897216798
16000,0.001,1.0,0.3618251037597656,0.5674,0.5996,1.2221036816596984,1.1445190231323241
18000,0.001,1.0,0.35939434051513675,0.5648,0.6056,1.2178181089401245,1.1378562879562377
20000,0.001,1.0,0.3565742874145508,0.5756,0.6048,1.2075305525779725,1.1306284255981445
