step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.4980477523803711,0.473,0.5172,1.5034862064361572,1.3623030731201171
4000,0.001,1.0,0.4195610427856445,0.5146,0.5436,1.3799175586700438,1.271254518699646
6000,0.001,1.0,0.3998493957519531,0.5326,0.5586,1.330737163543701,1.2368790561676026
8000,0.001,1.0,0.3887406158447266,0.5308,0.5678,1.31060778465271,1.2171858562469482
10000,0.001,1.0,0.3812973022460937,0.545,0.5706,1.2685531953811646,1.1998407773971558
12000,0.001,1.0,0.37541454315185546,0.5524,0.5774,1.2583573543548583,1.184896682548523
14000,0.001,1.0,0.3712103271484375,0.5544,0.5812,1.2557636224746704,1.1796853515625
16000,0.001,1.0,0.36783054351806643,0.564,0.5874,1.225288018989563,1.163467317199707
18000,0.001,1.0,0.3647259521484375,0.5668,0.5882,1.2260269411087037,1.1581346439361573
20000,0.001,1.0,0.362474250793457,0.5634,0.5934,1.2240336393356324,1.1533774770736693
