step,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.4986101531982422,0.4814,0.521,1.4743336317062379,1.3546532384872436
4000,0.4207698059082031,0.5272,0.5498,1.3325837310791016,1.2692159750938417
6000,0.4015146255493164,0.5318,0.5628,1.3191757583618164,1.2358398275375366
8000,0.39083000183105465,0.5468,0.5684,1.292297293281555,1.2143229248046874
10000,0.3838555908203125,0.5384,0.5738,1.2846517272949218,1.19702923412323
12000,0.3786354064941406,0.5512,0.5822,1.260137561607361,1.1869578338623046
14000,0.37428020477294927,0.548,0.5784,1.2720246650695801,1.1795416089057922
16000,0.37073368072509766,0.541,0.5816,1.2859785791397094,1.1735473498344422
18000,0.3687450408935547,0.545,0.5832,1.2773201051712035,1.1689605197906494
20000,0.36613941192626953,0.5582,0.586,1.236680585861206,1.1612148010253907
