step,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.48702957153320314,0.489,0.5176,1.452912546825409,1.3420032327651978
4000,0.41465728759765624,0.5348,0.558,1.3152397608757018,1.2434649951934815
6000,0.3939672088623047,0.5496,0.5752,1.2756505653381347,1.2058018226623535
8000,0.38231452941894534,0.5566,0.5856,1.2512304134368897,1.1793216354370117
10000,0.37470733642578125,0.57,0.5882,1.2273778820037842,1.164888173866272
12000,0.3689371109008789,0.5708,0.59,1.2156775177001953,1.1523289070129394
14000,0.36502334594726565,0.57,0.5946,1.224259517097473,1.147433366203308
16000,0.36133758544921873,0.5708,0.5938,1.2030291303634644,1.1396905385017395
18000,0.35841865539550777,0.5746,0.5934,1.202637903213501,1.1332823204994202
20000,0.35640750885009764,0.578,0.601,1.1877695817947387,1.1286948835372925
