ancestry_bytes,construction_seconds,covered_inputs,deployed_index_bits,deployed_index_bytes_packed,depth,distinct_predecessor_pairs,duplicate_predecessor_pairs,fanout_cv,fanout_max,fanout_mean,generator_temporary_bytes,in_dim,indices_tensor_bytes,input_coverage,jaccard_overlap_mean,lut_rank,max_gate_ancestry,max_source_ancestry,mean_gate_ancestry,mean_source_ancestry,original_inputs,out_dim,overlap_max,overlap_mean,overlap_p50,overlap_p90,overlap_std,reachable_gate_fraction,same_channel_pair_fraction,same_source_pair_fraction,same_spatial_location_pair_fraction,same_threshold_pair_fraction,source_ancestry_unique_fraction,source_covered_inputs,source_cross_gate_jaccard_mean,source_group_coverage_mean,source_group_coverage_min,source_group_usage_cv_mean,source_input_coverage,source_original_inputs,source_predecessor_jaccard_mean,source_predecessor_overlap_mean,spatial_manhattan_mean,spatial_manhattan_p50,spatial_manhattan_p90,std_gate_ancestry,std_source_ancestry,strategy,unused_outputs
36864000,0.024682828981895,9216,896000,112000,0,31994,6,0.03298484500494128,7,6.944444444444445,47992832,9216,512000,1.0,9.375e-05,2,2,2,1.99990625,1.99971875,9216,32000,1,9.375e-05,0.0,0.0,0.009682004489644692,1.0,0.33478125,0.00028125,0.00125,0.32875,0.99675,3072,0.0004062626957092409,1.0,1.0,0.0180989598555922,1.0,3072,0.00028125,0.00028125,21.32725,21.0,36.0,0.009682004489644692,0.01676815131245839,random,0
36864000,0.09832296503009275,9216,960000,120000,1,32000,0,0.0,2,2.0,256512000,32000,512000,1.0,0.00015625,2,4,4,3.99934375,3.998125,9216,32000,1,0.00046875,0.0,0.0,0.0216455601322188,1.0,,,,,1.0,3072,0.000709843611184278,1.0,1.0,0.018315832019650563,1.0,3072,0.00043749999999999995,0.0013125,,,,0.025608969833585658,0.04326065620168053,random,0
36864000,0.09981287800474092,9216,960000,120000,2,32000,0,0.0,2,2.0,256512000,32000,512000,1.0,0.00024107142857142855,2,8,8,7.997125,7.99115625,9216,32000,4,0.0015625,0.0,0.0,0.046071233907396064,1.0,,,,,1.0,3072,0.0012942368734737248,1.0,1.0,0.018526724630153583,1.0,3072,0.0007455357142857142,0.00509375,,,,0.05855966508613245,0.09658176891079136,random,0
36864000,0.09871848998591304,9216,960000,120000,3,32000,0,0.0,2,2.0,256512000,32000,512000,1.0,0.0005016369047619048,2,16,16,15.9870625,15.96109375,9216,32000,8,0.0071875,0.0,0.0,0.10160383774124875,1.0,,,,,1.0,3072,0.002604624071794156,1.0,1.0,0.01880857543644746,1.0,3072,0.0014406707875457875,0.02121875,,,,0.13093937946145154,0.20800854239895414,random,0
36864000,0.09949717996641994,9216,960000,120000,4,32000,0,0.0,2,2.0,256512000,32000,512000,1.0,0.0009070321190211345,2,32,32,31.9466875,31.83846875,9216,32000,16,0.0274375,0.0,0.0,0.19936695712617478,1.0,,,,,1.0,3072,0.005251479415633525,1.0,1.0,0.019031418708598064,1.0,3072,0.00273441310818605,0.08371875,,,,0.27243398713036887,0.4255160458472013,random,0
36864000,0.09900277899578214,9216,960000,120000,5,32000,0,0.0,2,2.0,256512000,32000,512000,1.0,0.0018090702113998762,2,64,64,63.78065625,63.3440625,9216,32000,16,0.11271875,0.0,0.0,0.3994693147144565,1.0,,,,,1.0,3072,0.010507058996929216,1.0,1.0,0.01911051876971637,1.0,3072,0.005350715297845406,0.332875,,,,0.5541724184186159,0.8522373472770071,random,0
36864000,0.09914021199801937,9216,960000,120000,6,32000,0,0.0,2,2.0,256512000,32000,512000,1.0,0.003493269991988845,2,128,128,127.123375,125.37540625,9216,32000,33,0.4379375,0.0,1.0,0.8503812357370958,1.0,,,,,1.0,3072,0.02096784057277144,1.0,1.0,0.01908144036919428,1.0,3072,0.010572033597017522,1.31271875,,,,1.152970558763319,1.706872548686907,random,0
36864000,0.09961184696294367,9216,960000,120000,7,32000,0,0.0,2,2.0,256512000,32000,512000,1.0,0.00695456756057953,2,256,256,252.50309375,245.64559375,9216,32000,64,1.74365625,1.0,4.0,1.7252192996358282,1.0,,,,,1.0,3072,0.041704626239169956,1.0,1.0,0.0189447723036251,1.0,3072,0.020882030358929556,5.10521875,,,,2.3681723815446665,3.3512109691812806,random,0
36864000,0.09940990299219266,9216,960000,120000,8,32000,0,0.0,2,2.0,256512000,32000,512000,1.0,0.01391320120919593,2,511,494,498.11528125,471.67790625,9216,32000,255,6.89090625,6.0,11.0,3.9172940027155145,1.0,,,,,1.0,3072,0.0833781641126407,1.0,1.0,0.01833493946260486,1.0,3072,0.04170439448941079,19.61328125,,,,5.107909698046593,6.531991416575112,random,0
36864000,0.09857182903215289,9216,960000,120000,9,32000,0,0.0,2,2.0,256512000,32000,512000,1.0,0.027813946691258647,2,998,908,969.31884375,870.92821875,9216,32000,265,26.91171875,26.0,34.0,6.795218000248295,1.0,,,,,1.0,3072,0.16536042230363765,1.0,1.0,0.017146908094926652,1.0,3072,0.08324758947506733,72.42759375,,,,9.625610106018524,11.199799270618579,random,0
36864000,0.09995629300829023,9216,960000,120000,10,32000,0,0.0,2,2.0,256512000,32000,512000,1.0,0.055560927574437285,2,1896,1562,1836.6855625,1494.9981875,9216,32000,527,101.952125,101.0,116.0,13.055588668626742,1.0,,,,,1.0,3072,0.3216883351401179,1.0,1.0,0.014587348432466719,1.0,3072,0.1651972078397471,246.85825,,,,17.842297121127476,17.20175671885996,random,0
36864000,0.09928918100195006,9216,960000,120000,11,32000,0,0.0,2,2.0,256512000,32000,512000,1.0,0.11087812997341513,2,3413,2339,3306.8646875,2262.24571875,9216,32000,1074,366.5064375,365.0,392.0,22.725313992519304,1.0,,,,,1.0,3072,0.5828946689581062,1.0,1.0,0.03470152686256439,1.0,3072,0.32173627944629085,727.75065625,,,,30.00788755523027,19.854567259094278,random,0
