step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,1.0,1.0,0.26711595249176023,0.8200000004768372,0.8561666674613952,1.3027522117296855,0.4120759938557943
1000,1.0,1.0,0.13037548661231993,0.8448333336512248,0.8765000012715658,1.0960367208321888,0.3483052548567454
1500,1.0,1.0,0.11139407348632813,0.8576666676203409,0.8840000012715657,0.9416327679951986,0.312316398024559
2000,1.0,1.0,0.09595798969268798,0.8653333346048991,0.8936666673024496,0.9178060234387716,0.2933159660498301
2500,1.0,1.0,0.08440663826465607,0.8696666677792867,0.8958333342870076,0.8746505049069723,0.2845972757736842
3000,1.0,1.0,0.07314657831192016,0.8726666671435038,0.90100000111262,0.8402645298639934,0.2782028388182322
3500,1.0,1.0,0.06201671147346497,0.8751666673024495,0.8943333336512248,0.7964388861656189,0.29798411269982655
4000,1.0,1.0,0.05383060300350189,0.8790000006357829,0.9016666679382325,0.7334059842427572,0.276517960190773
4500,1.0,1.0,0.045199651718139645,0.8726666677792867,0.90000000111262,0.7903522973060608,0.2862509279648463
5000,1.0,1.0,0.03801074731349945,0.8758333339691162,0.8996666674613952,0.7387046214739481,0.2841634126504262
