step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,1.0,1.0,0.04790325736999511,0.8740000006357829,0.8751666679382324,0.3783911365667979,0.3467584742705027
1000,1.0,1.0,0.02319851016998291,0.8805000011126201,0.8865000011126201,0.32938124565283455,0.3159177335898081
1500,1.0,1.0,0.01851966905593872,0.8851666669845581,0.8876666669845581,0.3179742216269175,0.31232816461722057
2000,1.0,1.0,0.01647204923629761,0.8890000012715658,0.8881666674613953,0.3117893734375636,0.3102012854417165
2500,1.0,1.0,0.0154258074760437,0.887833334128062,0.8883333341280619,0.3097268521785736,0.3084763626654943
3000,1.0,1.0,0.014626753807067872,0.8883333341280619,0.8891666674613953,0.31119814232985177,0.30876288056373596
3500,1.0,1.0,0.01417645025253296,0.889833334128062,0.8901666674613953,0.30850876986980436,0.30729677482446033
4000,1.0,1.0,0.013768132209777831,0.8888333346048991,0.8905000012715657,0.30830205674966177,0.3067569498618444
4500,1.0,1.0,0.013418406486511231,0.8881666673024495,0.888333334604899,0.30793778292338053,0.30686695579687756
5000,1.0,1.0,0.013251022338867189,0.8908333339691162,0.8925000012715657,0.3070505573352178,0.3059159939686457
