step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,1.0,1.0,0.9153112792968751,0.7471666485071182,0.7514999816815059,1.2233176191647848,0.6677093471089999
1000,1.0,1.0,0.3274095703125,0.7998333156108857,0.8099999785423279,0.8841537490487099,0.5203441406289736
1500,1.0,1.0,0.2775210021972656,0.8163333108027776,0.832999978462855,0.7970014443000157,0.4658636768658956
2000,1.0,1.0,0.2511189697265625,0.8223333140214284,0.8418333133061727,0.7255745987097423,0.4403387149175008
2500,1.0,1.0,0.23046458129882813,0.8261666427055995,0.8518333117167155,0.7014579812685648,0.4158934988081455
3000,1.0,1.0,0.2213674072265625,0.8383333116769791,0.8563333133856456,0.5950809493660927,0.39811286330223083
3500,0.16025072406596605,1.0,0.20795562744140625,0.842333314816157,0.8581666469573974,0.518495203057925,0.39828416556119917
4000,0.0006379696219602924,1.0,0.2008899169921875,0.8519999812046687,0.8599999835093816,0.48281305680672326,0.3894388670722643
4500,0.0001,0.02539802810960106,0.19362793579101562,0.8546666473150253,0.8556666453679402,0.4239567642410596,0.4239511514703433
5000,0.0001,0.00010111137119526715,0.18913049926757813,0.8546666473150253,0.8546666473150253,0.4239567259947459,0.4239567259947459
