step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,0.6901171142578125,0.789999982714653,0.8051666428645452,0.8273016318678856,0.5406833852330843
1000,0.001,1.0,0.28219312133789065,0.8148333112398783,0.839499976237615,0.6700606311360995,0.4525570099552472
1500,0.001,1.0,0.24446632690429687,0.8373333116372427,0.8528333127498626,0.5509824340542158,0.4136871223648389
2000,0.001,1.0,0.22457742919921875,0.840999980767568,0.857166646917661,0.5266930212577184,0.3942830247183641
2500,0.001,1.0,0.21052126464843748,0.8449999799331029,0.8658333172400793,0.49662311499317485,0.3766488753259182
3000,0.001,1.0,0.19413314208984375,0.8483333110809326,0.8626666476329168,0.4859047303597132,0.3697977629800638
3500,0.001,1.0,0.18561509399414064,0.8533333082993825,0.8711666484673818,0.44824584970871606,0.3586861381928126
4000,0.001,1.0,0.17743222045898438,0.8533333132664362,0.8731666485468547,0.44672852257887524,0.35442040488123894
4500,0.001,1.0,0.1684990539550781,0.8533333112796148,0.8723333160082499,0.4356091767549515,0.3484738104045391
5000,0.001,1.0,0.16366917114257812,0.8536666433016459,0.8679999818404516,0.4302643654247125,0.3484917330245177
