step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,0.693182373046875,0.8013333131869634,0.8051666488250097,0.7432279005646706,0.5275581816832224
1000,0.001,1.0,0.27198530273437505,0.8276666432619095,0.8426666448513667,0.5932534947991371,0.4348059142629305
1500,0.001,1.0,0.23365863647460938,0.8431666493415833,0.861166646083196,0.5106190755963326,0.39484163696567215
2000,0.001,1.0,0.21388685302734375,0.8483333130677541,0.8654999792575836,0.505297223975261,0.3745096556842327
2500,0.001,1.0,0.1995580078125,0.8599999795357386,0.8736666440963745,0.45115308463573456,0.3568904715279738
3000,0.001,1.0,0.18377543334960936,0.8556666453679402,0.8728333125511806,0.44052072341243426,0.34905001198252045
3500,0.001,1.0,0.17579042358398436,0.8621666431427002,0.8783333122730255,0.4217628749708335,0.33908944999178253
4000,0.001,1.0,0.16781268310546876,0.8643333137035369,0.881166648864746,0.40390379428863527,0.3342604582508405
4500,0.001,1.0,0.15803139038085937,0.8696666479110717,0.8831666459639868,0.37933037156860033,0.32827457586924236
5000,0.001,1.0,0.15404945068359374,0.8688333104054133,0.8828333089749019,0.3818577672044436,0.3281331494450569
