step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,1.0482489257812502,0.6584999869267146,0.7439999798933665,1.2912216395139695,0.737345685561498
1000,0.001,1.0,0.349060986328125,0.7768333117167155,0.8073333124319713,0.8634252851208051,0.5365201195081075
1500,0.001,1.0,0.28356113891601564,0.8083333104848862,0.835333310564359,0.6677510753273964,0.4714861462513606
2000,0.001,1.0,0.258285791015625,0.8311666409174602,0.8413333127895991,0.5866450846195221,0.44301729996999106
2500,0.001,1.0,0.24034661865234375,0.8393333117167155,0.84949997762839,0.5373962715268135,0.4153662825624148
3000,0.001,1.0,0.223337841796875,0.8436666468779246,0.8563333113988241,0.505557844787836,0.3995087370276451
3500,0.001,1.0,0.21416969604492186,0.8443333109219869,0.8621666451295217,0.4990211034814517,0.38370188772678376
4000,0.001,1.0,0.20695237426757812,0.8461666454871496,0.8654999802509944,0.48250166450937587,0.37424638668696086
4500,0.001,1.0,0.19506522216796876,0.8486666470766068,0.8688333123922348,0.4730054043233395,0.36487809841831526
5000,0.001,1.0,0.1912155029296875,0.8549999803304672,0.8696666479110717,0.44399314795931183,0.35900470018386843
