step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,0.692874609375,0.8073333074649175,0.8063333143790563,0.736938492457072,0.5277794942259788
1000,0.001,1.0,0.2730506103515625,0.8236666490634282,0.8389999787012736,0.6095054258902868,0.4405992199977239
1500,0.001,1.0,0.23448546752929686,0.8444999774297078,0.8559999763965607,0.51962980479002,0.3995526005824407
2000,0.001,1.0,0.2148780212402344,0.8461666444937388,0.8643333107233048,0.5061378320058186,0.37756108939647676
2500,0.001,1.0,0.20037249755859374,0.8588333129882812,0.8724999785423279,0.44519428759813306,0.36136894921461743
3000,0.001,1.0,0.184740087890625,0.8578333119551341,0.8739999781052271,0.4352337238689264,0.3529312200844288
3500,0.001,1.0,0.17627717285156252,0.8654999802509944,0.8788333177566529,0.409370743483305,0.3428220378855864
4000,0.001,1.0,0.16885101928710938,0.8694999784231185,0.8793333152929942,0.39492936109503113,0.337628506620725
4500,0.001,1.0,0.15947929687499998,0.8648333132266999,0.8793333133061727,0.3985766974588235,0.33192485546072326
5000,0.001,1.0,0.15550032348632814,0.8681666443745295,0.8819999814033508,0.38634908373157184,0.3294622796277205
