step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,0.6952428222656251,0.7921666473150253,0.8073333114385605,0.7891995231310527,0.5278995017210643
1000,0.001,1.0,0.2729497375488281,0.8261666466792424,0.8418333142995834,0.6092832118272782,0.43704812427361805
1500,0.001,1.0,0.23385626220703126,0.8446666459242503,0.8591666479905447,0.5224088673790296,0.39707182596127194
2000,0.001,1.0,0.21486615600585937,0.8478333085775376,0.86649997929732,0.511331100265185,0.3769002156953017
2500,0.001,1.0,0.20049613037109373,0.862166644136111,0.8743333101272583,0.4407971461613973,0.35902417401472725
3000,0.001,1.0,0.1851063537597656,0.8609999805688858,0.8734999785820643,0.4223705388605595,0.3511969325443109
3500,0.001,1.0,0.17683405151367187,0.8653333107630412,0.8793333123127619,0.4129715556899706,0.3406943274041017
4000,0.001,1.0,0.16860986938476563,0.8659999797741572,0.8774999797344207,0.39710813437898956,0.33513106852769853
4500,0.001,1.0,0.16000389404296875,0.8639999757210414,0.881666652361552,0.4049077399075031,0.3299419477581978
5000,0.001,1.0,0.15474180908203125,0.8584999809662501,0.8819999814033508,0.41162167365352315,0.32846940979361533
