step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,0.690878173828125,0.799666644136111,0.8068333168824514,0.7781087319056194,0.5299432411789894
1000,0.001,1.0,0.2729580688476562,0.8093333135048548,0.842166644334793,0.6614355127016703,0.43959689140319824
1500,0.001,1.0,0.23413011474609374,0.8451666484276453,0.8576666464408239,0.5246268833676974,0.39918507809440296
2000,0.001,1.0,0.21476347045898436,0.8526666472355525,0.8659999837478002,0.49550168837110203,0.3766941040754318
2500,0.001,1.0,0.19991727905273438,0.8608333110809326,0.8709999819596609,0.44736971134940784,0.3588379457592964
3000,0.001,1.0,0.18390507202148437,0.8636666456858317,0.8759999811649323,0.4112938438852628,0.34859822566310567
3500,0.001,1.0,0.17540048217773438,0.8691666493813197,0.8801666468381881,0.4173825467626254,0.33753743494550387
4000,0.001,1.0,0.16750543212890626,0.8594999790191651,0.8824999809265137,0.4295098257561525,0.3326615614195665
4500,0.001,1.0,0.15761220703125,0.8674999803304673,0.8829999794562657,0.398331618309021,0.3276314948995908
5000,0.001,1.0,0.15341109008789064,0.8718333125114441,0.8836666444937388,0.3837635432680448,0.3256795411308607
