step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,0.3923848754882812,0.7959999799728393,0.847166645526886,0.5741661603252093,0.43222226748863857
1000,0.001,1.0,0.2338745544433594,0.8223333140214284,0.8574999819199244,0.48453752398490907,0.3898650343219439
1500,0.001,1.0,0.20282799682617186,0.8356666435798009,0.8603333155314128,0.4567577689886093,0.36914239898324014
2000,0.001,1.0,0.1857277587890625,0.8381666431824366,0.8726666470368704,0.4603538066148758,0.3548054320116838
2500,0.001,1.0,0.173582958984375,0.8309999793767929,0.8756666451692581,0.4650067130724589,0.3450422073403994
3000,0.001,1.0,0.16036067504882812,0.8419999748468399,0.8756666481494904,0.4392007410526276,0.3413452677428722
3500,0.001,1.0,0.15197785034179687,0.8404999752839406,0.8761666476726532,0.4441607892513275,0.3437969041367372
4000,0.001,1.0,0.14779226989746094,0.8569999754428863,0.8759999861319859,0.40686076804995536,0.34237901320060093
4500,0.001,1.0,0.139058935546875,0.8578333139419556,0.8809999813636143,0.4040551334619522,0.3379992961883545
5000,0.001,1.0,0.1372350311279297,0.8564999749263128,0.8783333162466685,0.39748113056023915,0.3410838988920053
