step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,0.6988415771484375,0.8964999844630559,0.8993333131074905,0.4634505848089854,0.3603826647003492
1000,0.001,1.0,0.179403662109375,0.9211666484673818,0.9259999781847,0.31864090661207833,0.2540178616841634
1500,0.001,1.0,0.1302992889404297,0.9349999815225601,0.942999983827273,0.2328615998228391,0.201962078611056
2000,0.001,1.0,0.10352867431640625,0.9431666473547617,0.9509999811649322,0.19908955190330743,0.17327558230608703
2500,0.001,1.0,0.08457723083496094,0.9511666476726532,0.9559999793767929,0.16962686373541752,0.157000146061182
3000,0.001,1.0,0.07289227752685547,0.954999977350235,0.9596666425466538,0.16059355502948164,0.14664358583589396
3500,0.001,1.0,0.06542878875732422,0.9564999759197235,0.9609999765952428,0.14847952257841826,0.13688339417179426
4000,0.001,1.0,0.058915681457519534,0.9593333095312119,0.9619999766349793,0.14157144979884226,0.12974234161277612
4500,0.001,1.0,0.05301703491210938,0.9599999775489171,0.9641666392485301,0.13529555670296153,0.12522894963622094
5000,0.001,1.0,0.04781609802246094,0.9596666445334753,0.9629999727010727,0.13279784123102825,0.12248017688592275
