step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,0.700081640625,0.9028333147366842,0.9089999755223592,0.40419309586286545,0.3285480350255966
1000,0.001,1.0,0.15920527954101563,0.9288333157698313,0.9379999826351801,0.2796115926156441,0.2247495053956906
1500,0.001,1.0,0.11319185485839843,0.9454999844233195,0.9511666466792424,0.20373978931456804,0.1782917690773805
2000,0.001,1.0,0.09070739135742188,0.9481666485468546,0.9554999798536301,0.18699225801974534,0.15381734035909175
2500,0.001,1.0,0.07411629638671874,0.9566666454076767,0.9623333086570104,0.15088477209210396,0.13969611718008915
3000,0.001,1.0,0.06373433532714844,0.9599999765555064,0.9624999751647313,0.14136553543309371,0.13119083754718303
3500,0.001,1.0,0.058277783203124996,0.9621666421492895,0.9661666383345922,0.13190073265383642,0.12272208922853073
4000,0.001,1.0,0.051907763671874996,0.963333307703336,0.9676666378974914,0.12543099833031496,0.11587176298101744
4500,0.001,1.0,0.04672153930664063,0.9629999746878942,0.968166638414065,0.12352826992670694,0.11242862471068898
5000,0.001,1.0,0.04301122741699219,0.965833306312561,0.9699999699989955,0.11641709425797066,0.10964073787132898
