step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,0.704428271484375,0.9048333138227462,0.9074999769528707,0.4028336811810732,0.32940182512005173
1000,0.001,1.0,0.15917078247070313,0.9309999813636144,0.936833315094312,0.264024526750048,0.22284294826289017
1500,0.001,1.0,0.11371588439941407,0.9451666474342346,0.9523333152135213,0.20134913170089325,0.1751542914658785
2000,0.001,1.0,0.09080594787597655,0.9516666501760482,0.9573333124319713,0.17481961293766896,0.1510309549048543
2500,0.001,1.0,0.07437099609375,0.9529999802509944,0.962833309173584,0.15932015298555294,0.13796767766276996
3000,0.001,1.0,0.06405606079101563,0.956666644414266,0.9628333101669947,0.1454980085293452,0.12967697052905958
3500,0.001,1.0,0.05802028198242188,0.9578333109617233,0.9659999728202819,0.13282512271155913,0.12157603868593772
4000,0.001,1.0,0.05187449798583984,0.9603333085775375,0.9663333088159561,0.1284455475397408,0.11515553351491689
4500,0.001,1.0,0.04695759429931641,0.959666641553243,0.9659999738136927,0.1325675476031999,0.11213761524607738
5000,0.001,1.0,0.04337492980957031,0.9606666425863902,0.9674999723831813,0.1267516371483604,0.10886570724348227
