step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,0.69678984375,0.9033333092927933,0.9073333134253819,0.4030892533560594,0.33084687516093253
1000,0.001,1.0,0.160786962890625,0.9271666487058003,0.9336666504542033,0.2903420307983955,0.22998461239039897
1500,0.001,1.0,0.11597103881835938,0.9426666498184204,0.9476666510105133,0.21051721380402644,0.1824180735896031
2000,0.001,1.0,0.09287074584960937,0.9443333139022191,0.9563333123922348,0.1880525774632891,0.1575080554311474
2500,0.001,1.0,0.07582721099853516,0.9541666497786839,0.9596666465202968,0.15946578181659182,0.14230148339023194
3000,0.001,1.0,0.06571753692626953,0.956333311398824,0.962166644136111,0.14429864920675756,0.13191303114096323
3500,0.001,1.0,0.05926845245361328,0.959833312034607,0.9629999766747157,0.12836454656595986,0.12298635989427567
4000,0.001,1.0,0.052976033020019526,0.9616666426261266,0.9649999757607778,0.12324385748555262,0.11522511973356207
4500,0.001,1.0,0.04797172393798828,0.9616666426261266,0.9666666408379873,0.12319349814206362,0.11174474206442635
5000,0.001,1.0,0.0438908203125,0.9628333081801732,0.9671666403611501,0.11935757404814164,0.10755397227282325
