step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,0.7006951171875,0.8978333115577698,0.9103333155314127,0.4300389252603054,0.3322017652293046
1000,0.001,1.0,0.16058316650390625,0.9293333162864049,0.9354999820391338,0.28193495286007725,0.22968161987761657
1500,0.001,1.0,0.11485335388183594,0.9458333174387614,0.950166646639506,0.2097651054461797,0.18002694888661305
2000,0.001,1.0,0.09188783569335938,0.95333331823349,0.9569999814033509,0.17654669558008512,0.15402871643503507
2500,0.001,1.0,0.07466282958984376,0.955833316842715,0.9618333091338476,0.15974099971354008,0.14017802632103363
3000,0.001,1.0,0.06439251708984375,0.9554999818404516,0.9638333092133204,0.14774828758090736,0.13055810804168383
3500,0.001,1.0,0.05842313232421875,0.9594999780257543,0.9661666413148244,0.13579604619493088,0.12202102774754167
4000,0.001,1.0,0.05218064575195312,0.9598333130280177,0.9666666408379873,0.12665944796365997,0.11512119996671875
4500,0.001,1.0,0.04662366027832031,0.9591666450103123,0.9679999719063441,0.1303567498922348,0.11228282830367485
5000,0.001,1.0,0.0431669174194336,0.96199997762839,0.9684999734163284,0.12243630937300623,0.10864285485198101
