step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,0.3182406372070312,0.9194999794165294,0.9403333167235056,0.2691421367228031,0.21455749062200388
1000,0.001,1.0,0.10474788208007813,0.9278333167235057,0.9506666461626688,0.23965744636952876,0.17217423990368844
1500,0.001,1.0,0.07833591613769532,0.939333313703537,0.9611666411161423,0.2090446125715971,0.13597256845484176
2000,0.001,1.0,0.06434636993408203,0.9478333155314128,0.9641666422287624,0.180679365247488,0.11974366226543982
2500,0.001,1.0,0.05329869689941406,0.9498333106438319,0.9669999728600184,0.18027908119062583,0.11443049150208633
3000,0.001,1.0,0.046631918334960935,0.9509999811649322,0.9669999718666077,0.17359152846038342,0.1127271123851339
3500,0.001,1.0,0.04335080108642578,0.9598333110411962,0.9673333048820496,0.15062247750659782,0.10800752149273952
4000,0.001,1.0,0.039611787414550785,0.9568333109219869,0.9694999724626541,0.15337068264683087,0.10304763447493315
4500,0.001,1.0,0.03678955764770508,0.9561666438976923,0.968333304921786,0.1555102984731396,0.104630320550253
5000,0.001,1.0,0.03410148239135742,0.9593333105246226,0.9699999699989955,0.1404597590987881,0.1025612826148669
