step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,0.9738317871093751,0.3653999924659729,0.40579999178647996,3.341726403236389,1.6639509749412538
1000,0.001,1.0,0.7612060546874999,0.4387999904155731,0.4771999889612198,2.40305912733078,1.4882392191886902
1500,0.001,1.0,0.6874765014648437,0.47619998812675474,0.5089999848604202,1.8974336218833923,1.3979709219932557
2000,0.001,1.0,0.6406090698242187,0.4887999886274338,0.5247999912500382,1.7642462587356567,1.3497306561470033
2500,0.001,1.0,0.5967738037109375,0.5101999849081039,0.5387999850511551,1.6413149046897888,1.3177262187004088
3000,0.001,1.0,0.560516357421875,0.5191999888420105,0.5397999876737595,1.551035771369934,1.2963685417175292
3500,0.001,1.0,0.5312754516601562,0.5179999858140946,0.5483999842405319,1.5196138882637025,1.2754419326782227
4000,0.001,1.0,0.4976850891113281,0.5297999882698059,0.5479999881982803,1.4545800399780273,1.2753547072410583
4500,0.001,1.0,0.47386038208007814,0.5267999905347824,0.5545999878644943,1.406991798877716,1.2631021642684936
5000,0.001,1.0,0.4469389343261718,0.5233999872207642,0.5587999826669693,1.434057013988495,1.2546389770507813
