step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,0.9750799560546876,0.363799991607666,0.412799990773201,3.544968190193176,1.660861506462097
1000,0.001,1.0,0.7592808227539063,0.44699998676776886,0.4871999877691269,2.377613558769226,1.4839123177528382
1500,0.001,1.0,0.6837283935546875,0.4877999871969223,0.5135999876260757,1.8757503390312196,1.3913107562065123
2000,0.001,1.0,0.6345642700195313,0.5049999874830245,0.527999981045723,1.7260119247436523,1.3387140679359435
2500,0.001,1.0,0.5884193115234375,0.5233999890089035,0.5455999886989593,1.5194026660919189,1.301949999332428
3000,0.001,1.0,0.5505098876953125,0.5359999901056289,0.5491999876499176,1.4484863090515137,1.27874329328537
3500,0.001,1.0,0.5184128417968751,0.5453999882936478,0.557599984407425,1.3788342332839967,1.2531976914405822
4000,0.001,1.0,0.4831348266601562,0.5469999843835831,0.5589999842643738,1.363338348865509,1.2493172144889833
4500,0.001,1.0,0.4572926940917969,0.5549999845027923,0.562999986410141,1.3112986397743225,1.2363784527778625
5000,0.001,1.0,0.42894769287109374,0.5593999880552292,0.5699999856948853,1.3116575145721436,1.2258219528198242
