step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,1.0730167236328125,0.2727999937534332,0.32139999061822894,3.849061756134033,1.9020349884033203
1000,0.001,1.0,0.8608324584960938,0.34799999207258225,0.4197999882698059,3.405104947090149,1.6428431057929993
1500,0.001,1.0,0.7680782470703125,0.38179999113082885,0.4687999868392944,3.050997829437256,1.5239072489738463
2000,0.001,1.0,0.7195111694335937,0.3603999888896942,0.4929999870061874,3.29157386302948,1.4518750929832458
2500,0.001,1.0,0.6758698120117188,0.3899999910593033,0.5125999844074249,2.867902009487152,1.4003404593467712
3000,0.001,1.0,0.6436450195312501,0.36979999125003815,0.5187999886274338,2.998019003868103,1.3705329513549804
3500,0.001,1.0,0.6167453613281251,0.3835999894142151,0.5425999879837036,2.7199280524253844,1.3182025814056397
4000,0.001,1.0,0.586856201171875,0.4015999907255173,0.534599986076355,2.5271090865135193,1.3094728517532348
4500,0.001,1.0,0.5652774047851562,0.4127999895811081,0.5489999854564667,2.2873914098739623,1.2885960030555725
5000,0.001,1.0,0.53937548828125,0.4423999887704849,0.5493999868631363,2.0845611262321473,1.2703537130355835
