step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,1.0225027465820313,0.3441999900341034,0.3695999896526337,4.530990552902222,1.7742901229858399
1000,0.001,1.0,0.810015380859375,0.4091999900341034,0.4501999878883362,3.167062315940857,1.5805930495262146
1500,0.001,1.0,0.7295201416015625,0.4201999884843826,0.47399999022483824,2.6609627628326415,1.5040630173683167
2000,0.001,1.0,0.672947265625,0.46259998857975004,0.5043999874591827,2.202294669151306,1.4242370128631592
2500,0.001,1.0,0.62027734375,0.49519998908042906,0.5101999861001968,1.9087814664840699,1.3843636322021484
3000,0.001,1.0,0.5700712890625,0.49039998710155486,0.5175999867916107,1.785123586654663,1.3754015731811524
3500,0.001,1.0,0.5236355590820313,0.5209999859333039,0.5395999872684478,1.5454355883598327,1.3086810946464538
4000,0.001,1.0,0.4728193359375,0.5237999874353408,0.5399999868869781,1.5420265984535217,1.304600145816803
4500,0.001,1.0,0.4285589599609375,0.5233999884128571,0.5389999848604202,1.5486282682418824,1.3103303790092469
5000,0.001,1.0,0.37931021118164066,0.5303999900817871,0.5441999840736389,1.4714049530029296,1.2889040803909302
