step,thresh_0_0,thresh_0_1,thresh_0_2,thresh_0_3,thresh_0_4
500,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
1000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
1500,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
2000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
2500,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
3000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
3500,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
4000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
4500,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
5000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
