step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,1.1426721191406248,0.16699999570846558,0.24719999209046364,3.0004299545288085,2.0834755444526674
1000,0.001,1.0,0.9564332885742188,0.32939999133348463,0.35479999244213106,2.9215336894989012,1.8101173281669616
1500,0.001,1.0,0.8403526611328125,0.3333999910950661,0.3983999919891357,3.1417005968093874,1.6878324818611146
2000,0.001,1.0,0.776219970703125,0.32959999054670336,0.45899998605251313,3.357017045021057,1.5508776545524596
2500,0.001,1.0,0.7257550048828125,0.36019999146461484,0.4843999892473221,3.124866361618042,1.4658841967582703
3000,0.001,1.0,0.6894249877929687,0.30539999186992645,0.4801999866962433,3.7187047958374024,1.4444008731842042
3500,0.001,1.0,0.6571640014648437,0.34019999265670775,0.529399985074997,3.3403244113922117,1.3580245637893678
4000,0.001,1.0,0.6229883422851562,0.3165999945998192,0.5349999904632569,3.5268548727035522,1.3218037152290345
4500,0.001,1.0,0.5972841186523438,0.29819999426603316,0.5345999884605408,3.6324050188064576,1.3063832592964173
5000,0.001,1.0,0.567468994140625,0.29699999153614043,0.5457999849319458,3.6037366724014284,1.272941255569458
