step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,1.0165062255859374,0.35139999151229856,0.39239998906850815,4.251805386543274,1.7221869826316833
1000,0.001,1.0,0.7765408325195312,0.43199998676776885,0.4737999874353409,2.7266355180740356,1.4979157948493957
1500,0.001,1.0,0.68823193359375,0.46119998931884765,0.496399986743927,2.306096901893616,1.4158884334564208
2000,0.001,1.0,0.6306221923828125,0.5113999903202057,0.5361999875307083,1.826371705532074,1.3163002061843871
2500,0.001,1.0,0.576534423828125,0.5367999851703644,0.5507999849319458,1.6233962655067444,1.271742799282074
3000,0.001,1.0,0.5291007690429688,0.5327999877929688,0.5543999874591827,1.5908563709259034,1.2529815697669984
3500,0.001,1.0,0.4861092224121094,0.5651999896764756,0.5771999853849411,1.385386266708374,1.1890752291679383
4000,0.001,1.0,0.43936370849609374,0.5581999862194061,0.581799983382225,1.3825359582901,1.1783787930011749
4500,0.001,1.0,0.40069372558593747,0.5615999919176101,0.5879999852180481,1.3265512132644652,1.1763366222381593
5000,0.001,1.0,0.35698236083984375,0.5617999857664109,0.5915999865531921,1.3360215711593628,1.157309274673462
