step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,1.015989013671875,0.35479999363422393,0.39399998903274536,4.284180274009705,1.7202030253410339
1000,0.001,1.0,0.7754724731445313,0.44799999058246615,0.481399986743927,2.6168401527404783,1.4951285099983216
1500,0.001,1.0,0.6879520874023438,0.46599998891353606,0.4977999883890152,2.233853657245636,1.4155839920043944
2000,0.001,1.0,0.6301639404296875,0.5007999873161316,0.537599989771843,1.9079275631904602,1.315213952064514
2500,0.001,1.0,0.5767105102539062,0.5327999866008759,0.5519999867677688,1.7028338813781738,1.2726614546775818
3000,0.001,1.0,0.528770263671875,0.5381999856233597,0.5597999894618988,1.5588821864128113,1.2531110858917236
3500,0.001,1.0,0.484927734375,0.5619999891519547,0.5783999907970429,1.417268569469452,1.189297627210617
4000,0.001,1.0,0.4384653625488282,0.562199986577034,0.5809999865293503,1.3894278120994568,1.1779719579219818
4500,0.001,1.0,0.39952093505859376,0.5877999860048294,0.5897999835014344,1.2859340608119965,1.1795075559616088
5000,0.001,1.0,0.35557183837890627,0.5843999850749969,0.5949999850988388,1.2650341963768006,1.1541152858734132
