step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,1.0,1.0,1.02807177734375,0.3433999916911125,0.34999998986721037,2.5714665508270262,1.8225508689880372
1000,1.0,1.0,0.8441390991210938,0.4143999895453453,0.41319998681545256,1.9325309419631957,1.648270823955536
1500,1.0,1.0,0.780915283203125,0.4407999861240387,0.44539998948574067,1.7339148759841918,1.571262092590332
2000,1.0,1.0,0.7434259033203124,0.44879998922348024,0.4593999856710434,1.6302760887145995,1.5244133687019348
2500,1.0,1.0,0.7138843994140625,0.45919998943805695,0.47639998853206633,1.5649942779541015,1.4930695962905884
3000,1.0,1.0,0.6954169921875,0.46999998569488527,0.4825999891757965,1.523598132133484,1.4702009749412537
3500,0.16025072406596605,1.0,0.6733770751953125,0.4799999898672104,0.4863999843597412,1.4870464158058168,1.45771826505661
4000,0.0006379696219602924,1.0,0.656006591796875,0.48599998831748964,0.48939998745918273,1.4673425602912902,1.4476650333404542
4500,0.0001,0.02539802810960106,0.6405364990234375,0.48999998390674593,0.4899999850988388,1.4528940057754516,1.4528926753997802
5000,0.0001,0.00010111137119526715,0.6324108276367187,0.48999998390674593,0.48999998390674593,1.4528940057754516,1.4528940057754516
