step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,0.09094388008117675,0.08719999969005585,0.13180000002384185,57.541230010986325,4.039768341064453
1000,0.001,1.0,0.06618802547454834,0.09600000007152558,0.19039999985694886,54.32891302490234,3.620793433761597
1500,0.001,1.0,0.048402872085571286,0.09659999969005585,0.20839999957084657,45.9767710144043,3.7783391185760498
2000,0.001,1.0,0.026398594379425048,0.09320000007152557,0.20379999957084655,42.85879677734375,4.283968460083008
2500,0.001,1.0,0.008041407465934753,0.0952000000834465,0.2099999990940094,42.476318627929686,4.6991742279052735
3000,0.001,1.0,0.0015566080808639526,0.10499999988079071,0.21519999988079072,41.72550848388672,5.0136220794677735
3500,0.001,1.0,0.00054976437240839,0.10899999959468841,0.2181999997854233,41.07389625854492,5.256156008911133
4000,0.001,1.0,0.0002991790696978569,0.114,0.21579999997615815,40.99811583251953,5.445378411102295
4500,0.001,1.0,0.00019551023840904238,0.1167999997973442,0.2163999997854233,40.99475435791015,5.644502693939209
5000,0.001,1.0,0.00014056900516152383,0.114,0.21639999949932098,40.72905576171875,5.791709948730468
