step,thresh_0_0,thresh_0_1,thresh_0_10,thresh_0_11,thresh_0_12,thresh_0_13,thresh_0_14,thresh_0_15,thresh_0_16,thresh_0_17,thresh_0_18,thresh_0_19,thresh_0_2,thresh_0_20,thresh_0_21,thresh_0_22,thresh_0_23,thresh_0_24,thresh_0_25,thresh_0_26,thresh_0_27,thresh_0_28,thresh_0_29,thresh_0_3,thresh_0_30,thresh_0_4,thresh_0_5,thresh_0_6,thresh_0_7,thresh_0_8,thresh_0_9
500,0.03125,0.0625,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.09375,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.125,0.96875,0.15625,0.1875,0.21875,0.25,0.28125,0.3125
1000,0.03125,0.0625,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.09375,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.125,0.96875,0.15625,0.1875,0.21875,0.25,0.28125,0.3125
1500,0.03125,0.0625,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.09375,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.125,0.96875,0.15625,0.1875,0.21875,0.25,0.28125,0.3125
2000,0.03125,0.0625,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.09375,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.125,0.96875,0.15625,0.1875,0.21875,0.25,0.28125,0.3125
2500,0.03125,0.0625,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.09375,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.125,0.96875,0.15625,0.1875,0.21875,0.25,0.28125,0.3125
3000,0.03125,0.0625,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.09375,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.125,0.96875,0.15625,0.1875,0.21875,0.25,0.28125,0.3125
3500,0.03125,0.0625,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.09375,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.125,0.96875,0.15625,0.1875,0.21875,0.25,0.28125,0.3125
4000,0.03125,0.0625,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.09375,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.125,0.96875,0.15625,0.1875,0.21875,0.25,0.28125,0.3125
4500,0.03125,0.0625,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.09375,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.125,0.96875,0.15625,0.1875,0.21875,0.25,0.28125,0.3125
5000,0.03125,0.0625,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.09375,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.125,0.96875,0.15625,0.1875,0.21875,0.25,0.28125,0.3125
