step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,1.2837196350097657,0.088,0.1312,12.912575134277343,3.7773518478393555
1000,0.001,1.0,1.1910297393798828,0.0848,0.1498,12.96246417388916,3.685653079223633
1500,0.001,1.0,1.1642079162597656,0.0934,0.1542,11.935306665039063,3.626812697601318
2000,0.001,1.0,1.1491253662109375,0.0988,0.1608,11.588539721679687,3.5943232315063476
2500,0.001,1.0,1.1380096435546876,0.0904,0.167,11.587983297729492,3.5747300506591797
3000,0.001,1.0,1.1290221405029297,0.097,0.1692,11.546196711730957,3.5465293098449706
3500,0.001,1.0,1.124403610229492,0.0868,0.161,11.479117315673829,3.540449967956543
4000,0.001,1.0,1.1192858123779297,0.0908,0.1694,11.586494741821289,3.5389484218597413
4500,0.001,1.0,1.1156862640380858,0.092,0.1752,11.671385446166992,3.536784495162964
5000,0.001,1.0,1.111070098876953,0.0844,0.179,11.958201275634766,3.502806357574463
