step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,1.2859895324707034,0.0796,0.1332,12.408307540893555,3.793874800872803
1000,0.001,1.0,1.1958540344238282,0.085,0.1492,12.186380418395997,3.702752066040039
1500,0.001,1.0,1.1680497741699218,0.0926,0.1586,12.283090441894531,3.6319821983337404
2000,0.001,1.0,1.1561010742187499,0.1008,0.1624,11.911230944824219,3.5938596267700196
2500,0.001,1.0,1.1431748962402344,0.094,0.166,11.90725519104004,3.5694786109924315
3000,0.001,1.0,1.134590835571289,0.0968,0.1732,11.80359220275879,3.5473746719360353
3500,0.001,1.0,1.1300759887695313,0.0996,0.1756,11.38931540222168,3.548347134399414
4000,0.001,1.0,1.1250978851318358,0.0904,0.1696,11.655545291137695,3.5373728965759277
4500,0.001,1.0,1.1220661926269533,0.0912,0.177,12.061157681274414,3.548824613952637
5000,0.001,1.0,1.1162751770019532,0.0968,0.1824,11.618090339660645,3.5087530937194824
