step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,1.2853515625,0.0806,0.1314,12.212475520324707,3.7951577880859375
1000,0.001,1.0,1.1957612609863282,0.085,0.151,12.264774295043946,3.7053083580017088
1500,0.001,1.0,1.1682802581787108,0.0908,0.16,11.985482411193848,3.633173629760742
2000,0.001,1.0,1.1555626678466797,0.1008,0.1634,11.89663681640625,3.596463102722168
2500,0.001,1.0,1.1430876922607422,0.0976,0.1672,12.015085932922362,3.570946838378906
3000,0.001,1.0,1.13439697265625,0.0908,0.1716,12.101141033935546,3.5475425720214844
3500,0.001,1.0,1.1302156829833985,0.0962,0.1758,11.702846255493164,3.549319177246094
4000,0.001,1.0,1.1251214599609374,0.0926,0.1666,11.938270147705078,3.5383340644836427
4500,0.001,1.0,1.1219208526611328,0.0964,0.1788,11.823159817504882,3.5479690979003906
5000,0.001,1.0,1.1167070770263672,0.0874,0.1814,11.978283264160156,3.5093606414794922
