step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,1.2861201477050783,0.0798,0.131,11.891775457763671,3.7953837509155273
1000,0.001,1.0,1.1953155517578125,0.0924,0.1466,12.145051914978028,3.7030983383178713
1500,0.001,1.0,1.1681844329833986,0.0926,0.1562,12.186571815490723,3.6341820331573484
2000,0.001,1.0,1.1555963134765626,0.1038,0.1666,11.910461859130859,3.5959802841186526
2500,0.001,1.0,1.1424772644042969,0.098,0.1684,12.271134237670898,3.569649008178711
3000,0.001,1.0,1.134107208251953,0.0928,0.1736,11.909813388061524,3.5465986434936525
3500,0.001,1.0,1.1302383422851563,0.1002,0.174,11.852321945190429,3.5495628509521486
4000,0.001,1.0,1.1243392181396485,0.094,0.1734,11.582003555297852,3.5385775115966798
4500,0.001,1.0,1.1218515014648438,0.0876,0.1762,12.065154736328125,3.547785388183594
5000,0.001,1.0,1.1167664337158203,0.0906,0.1834,11.774535723876953,3.510041783905029
