step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,1.3347860717773439,0.0624,0.0986,7.091546441650391,3.991546011352539
1000,0.001,1.0,1.2415601348876955,0.0746,0.117,6.814799125671387,3.8595509811401367
1500,0.001,1.0,1.2197845458984373,0.0766,0.1278,6.534016358947754,3.808473050689697
2000,0.001,1.0,1.209285125732422,0.0792,0.1366,6.461024130249023,3.766048641204834
2500,0.001,1.0,1.1990339660644531,0.0818,0.131,6.321888595581055,3.748925659942627
3000,0.001,1.0,1.194386978149414,0.0832,0.1432,6.370766046142578,3.733439101409912
3500,0.001,1.0,1.1906365966796875,0.0786,0.1458,6.420516233825683,3.72861533203125
4000,0.001,1.0,1.1872702789306642,0.086,0.14,6.319364292907715,3.718364782714844
4500,0.001,1.0,1.1851876068115235,0.0942,0.1416,6.084397969055176,3.7151684532165525
5000,0.001,1.0,1.1824877166748047,0.0858,0.147,6.242561991882324,3.7037806594848632
